"review_id","source_line","sample_stratum","model_bucket","score","shuffle_score","mojibake","direction_suspect","length_ratio_suspect","duplicate","number_mismatch"
"DQ-0001","2478086","reject_stratified","reject_candidate","1.61875814228551E-05","1.61875814228551E-05","False","False","False","False","False"
"DQ-0002","12092579","gray_lower_boundary","gray","1.64424945978681E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0003","11917237","gray_lower_boundary","gray","1.64424945978681E-05","1.65714536706218E-05","False","False","False","False","False"
"DQ-0004","7726086","gray_upper_boundary","gray","0.001192549243569374","0.002387409098446369","False","False","False","False","False"
"DQ-0005","14089791","gray_lower_boundary","gray","1.64424945978681E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0006","1078055","gray_upper_boundary","gray","0.0011786719551309943","1.67014204635052E-05","False","False","False","False","False"
"DQ-0007","8306533","gray_lower_boundary","gray","1.64424945978681E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0008","12103471","reject_stratified","reject_candidate","1.6314539607265E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0009","12042776","gray_upper_boundary","gray","0.0011832797899842262","1.61875814228551E-05","False","False","False","False","False"
"DQ-0010","10239047","reject_stratified","reject_candidate","1.60616109496914E-05","1.6314539607265E-05","False","False","False","False","False"
"DQ-0011","3930520","gray_lower_boundary","gray","1.64424945978681E-05","0.00013982206291984767","False","False","False","False","False"
"DQ-0012","8230692","clean_lower_boundary","clean_candidate","0.0012113064294680953","1.6314539607265E-05","False","False","False","False","False"
"DQ-0013","208415","clean_lower_boundary","clean_candidate","0.001216041506268084","1.70974781212863E-05","False","False","False","False","False"
"DQ-0014","9735706","gray_upper_boundary","gray","0.0011972112115472555","0.00022167809947859496","False","True","False","False","True"
"DQ-0015","1429210","reject_stratified","reject_candidate","1.61875814228551E-05","0.0039454069919884205","False","False","False","False","False"
"DQ-0016","10399893","reject_stratified","reject_candidate","1.61875814228551E-05","1.61875814228551E-05","False","False","False","False","False"
"DQ-0017","12128610","clean_lower_boundary","clean_candidate","0.0012065897462889552","1.64424945978681E-05","False","False","False","False","False"
"DQ-0018","7379841","gray_lower_boundary","gray","1.64424945978681E-05","1.6314539607265E-05","False","False","False","False","False"
"DQ-0019","4947989","clean_lower_boundary","clean_candidate","0.0012065897462889552","1.61875814228551E-05","False","True","False","False","True"
"DQ-0020","1806366","gray_upper_boundary","gray","0.001192549243569374","1.61875814228551E-05","False","False","False","False","False"
"DQ-0021","10871175","gray_lower_boundary","gray","1.64424945978681E-05","1.6314539607265E-05","False","False","False","False","False"
"DQ-0022","12467610","gray_upper_boundary","gray","0.0011972112115472555","0.002323162741959095","False","False","False","False","False"
"DQ-0023","3825757","reject_stratified","reject_candidate","1.6314539607265E-05","1.79179878614377E-05","False","False","False","False","False"
"DQ-0024","2700820","reject_stratified","reject_candidate","1.61875814228551E-05","4.36587833974045E-05","False","False","False","False","False"
"DQ-0025","1726413","gray_lower_boundary","gray","1.64424945978681E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0026","4001496","reject_stratified","reject_candidate","1.6314539607265E-05","1.61875814228551E-05","False","False","False","False","False"
"DQ-0027","10595540","clean_lower_boundary","clean_candidate","0.001201891340315342","2.12780651054345E-05","False","False","False","False","False"
"DQ-0028","1781194","reject_stratified","reject_candidate","1.6314539607265E-05","1.6314539607265E-05","False","False","False","False","False"
"DQ-0029","1545301","gray_lower_boundary","gray","1.64424945978681E-05","3.34746910084505E-05","False","False","False","False","False"
"DQ-0030","10703479","gray_lower_boundary","gray","1.64424945978681E-05","1.61875814228551E-05","False","False","False","False","False"
"DQ-0031","7444144","gray_upper_boundary","gray","0.0011879054363816977","1.61875814228551E-05","False","True","False","False","False"
"DQ-0032","11250567","reject_stratified","reject_candidate","1.6314539607265E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0033","14070177","gray_lower_boundary","gray","1.64424945978681E-05","1.64424945978681E-05","False","False","False","False","False"
"DQ-0034","12539162","gray_lower_boundary","gray","1.64424945978681E-05","1.61875814228551E-05","False","False","False","False","False"
"DQ-0035","5976422","reject_stratified","reject_candidate","1.61875814228551E-05","0.00011682839976856485","False","False","False","False","False"
"DQ-0036","13306203","reject_stratified","reject_candidate","1.60616109496914E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0037","12474032","reject_stratified","reject_candidate","1.6314539607265E-05","1.69644263223745E-05","False","False","False","False","False"
"DQ-0038","7155780","reject_stratified","reject_candidate","1.60616109496914E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0039","14074398","gray_lower_boundary","gray","1.64424945978681E-05","1.61875814228551E-05","False","False","False","False","False"
"DQ-0040","12702388","clean_lower_boundary","clean_candidate","0.0012113064294680953","1.61875814228551E-05","False","False","False","False","False"
"DQ-0041","5257600","reject_stratified","reject_candidate","1.6314539607265E-05","1.59366190928267E-05","False","False","False","False","False"
"DQ-0042","759294","reject_stratified","reject_candidate","1.6314539607265E-05","1.96790242625866E-05","False","False","False","False","False"
"DQ-0043","10473251","gray_lower_boundary","gray","1.64424945978681E-05","1.60616109496914E-05","False","False","False","False","False"
"DQ-0044","5087668","gray_upper_boundary","gray","0.0011832797899842262","1.61875814228551E-05","False","True","False","False","True"
"DQ-0045","5783266","reject_stratified","reject_candidate","1.60616109496914E-05","1.64424945978681E-05","False","False","False","False","True"
"DQ-0046","172573","reject_stratified","reject_candidate","1.60616109496914E-05","1.60616109496914E-05","False","False","False","False","False"
