name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.26 W, 210 MHz, 41, 0 %, 1002 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.26 W, 210 MHz, 41, 0 %, 1002 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.35 W, 210 MHz, 40, 0 %, 1002 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.52 W, 210 MHz, 40, 0 %, 1002 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.52 W, 210 MHz, 40, 0 %, 1002 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.43 W, 210 MHz, 41, 0 %, 1 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 41.43 W, 210 MHz, 41, 0 %, 1 MiB, 24576 MiB
name, power.limit [W], power.draw [W], clocks.current.graphics [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
NVIDIA GeForce RTX 3090, 270.00 W, 123.53 W, 1860 MHz, 51, 5 %, 1 MiB, 24576 MiB
