ap,auc,base,checkpoint,composite,frame,hit1,hit3,mode,mrr,n_neg,n_pos,top5
0.44849409849409844,0.55,ball,random,football,football,0,1,random,0.3333333333333333,10,6,net:negative:0.5804 engine:negative:0.5789 team:positive:0.5789 foot:positive:0.5748 soccer:positive:0.5588
0.6446127946127945,0.7333333333333333,ball,random,basketball,basketball,1,1,random,1.0,10,6,basket:positive:0.5534 racket:negative:0.5488 hand:positive:0.5368 net:negative:0.5116 court:positive:0.5073
0.412469474969475,0.23333333333333334,ball,random,baseball,baseball,1,1,random,1.0,10,6,team:positive:0.6304 court:negative:0.5791 ice:negative:0.5460 engine:negative:0.5455 net:negative:0.5368
0.48,0.5,ball,random,tennis,tennis,1,1,random,1.0,10,5,racket:positive:0.5927 foot:negative:0.5545 basket:negative:0.5490 kick:negative:0.5370 engine:negative:0.5289
0.3923809523809524,0.58,ball,random,volleyball,volleyball,0,0,random,0.2,10,5,foot:negative:0.5437 racket:negative:0.5073 wheel:negative:0.5037 basket:negative:0.4958 hand:positive:0.4854
0.33454545454545453,0.38,ball,random,snowball,snowball,0,1,random,0.3333333333333333,10,5,court:negative:0.5872 foot:negative:0.5788 snow:positive:0.5747 team:negative:0.5561 ice:positive:0.5477
0.24329670329670333,0.14,ball,random,fireball,fireball,0,0,random,0.16666666666666666,10,5,basket:negative:0.6370 wheel:negative:0.6234 bat:negative:0.6025 foot:negative:0.5948 racket:negative:0.5914
0.4768253968253968,0.68,chair,random,wheelchair,wheelchair,0,1,random,0.5,10,5,bat:negative:0.6627 move:positive:0.6620 fire:negative:0.6369 racket:negative:0.5709 roll:positive:0.5687
0.4422222222222222,0.58,boat,random,sailboat,sailboat,0,1,random,0.3333333333333333,10,5,court:negative:0.5711 fire:negative:0.5610 sail:positive:0.5438 harbor:positive:0.5250 sea:positive:0.5153
0.4609523809523809,0.6,boat,random,motorboat,motorboat,0,1,random,0.5,10,5,basket:negative:0.6031 fuel:positive:0.5900 racket:negative:0.5611 wind:negative:0.5536 motor:positive:0.5423
0.31880952380952376,0.4,car,random,racecar,racecar,0,0,random,0.2,10,5,foot:negative:0.5933 sail:negative:0.5910 snow:negative:0.5909 fire:negative:0.5497 race:positive:0.5374
0.663888888888889,0.7,car,random,policecar,policecar,1,1,random,1.0,10,5,street:positive:0.6080 officer:positive:0.5964 court:negative:0.5854 snow:negative:0.5565 basket:negative:0.5544
0.5688888888888888,0.68,cup,random,teacup,teacup,1,1,random,1.0,10,5,kettle:positive:0.5791 engine:negative:0.5565 football:negative:0.5545 court:negative:0.5537 hot:positive:0.5453
