checkpoint,ctx_mode,dim,entropy,macro_f1,mode,n_test,n_train,top1,top3
anchor_tree_massive_ep1,none,128,1.5806384086608887,0.44240322635185136,l0,32000,128000,0.538125,0.7710625
anchor_tree_massive_ep1,ctx_only,128,2.0876762866973877,0.1407569502231879,l0,32000,128000,0.351625,0.6365
anchor_tree_massive_ep1,token_ctx,256,1.4547573328018188,0.49180430619660315,l0,32000,128000,0.5696875,0.8038125
anchor_tree_massive_ep1,token_minus_ctx,384,1.4435546398162842,0.4962266232456966,l0,32000,128000,0.5700625,0.80325
anchor_tree_massive_ep1,none,128,2.1473300457000732,0.04088346972948751,path,32000,128000,0.32503125,0.621125
anchor_tree_massive_ep1,ctx_only,128,2.2363364696502686,0.043060632773535244,path,32000,128000,0.32565625,0.5609375
anchor_tree_massive_ep1,token_ctx,256,2.0942094326019287,0.061093070305485185,path,32000,128000,0.32340625,0.62921875
anchor_tree_massive_ep1,token_minus_ctx,384,2.097216844558716,0.06171265084566837,path,32000,128000,0.3230625,0.625125
anchor_tree_massive_ep1,none,128,1.6181586980819702,0.42920782483416997,cmul,32000,128000,0.53134375,0.76903125
anchor_tree_massive_ep1,ctx_only,128,2.0921061038970947,0.1303378350728031,cmul,32000,128000,0.35203125,0.6278125
anchor_tree_massive_ep1,token_ctx,256,1.5040361881256104,0.47853464327620143,cmul,32000,128000,0.5590625,0.7945625
anchor_tree_massive_ep1,token_minus_ctx,384,1.4918965101242065,0.47565361976272547,cmul,32000,128000,0.55890625,0.79465625
anchor_tree_massive_ep1,none,128,1.6674336194992065,0.4056363440507293,tree,32000,128000,0.52228125,0.7575625
anchor_tree_massive_ep1,ctx_only,128,2.128567934036255,0.12144728883695793,tree,32000,128000,0.3480625,0.6245625
anchor_tree_massive_ep1,token_ctx,256,1.568855881690979,0.4570103537311021,tree,32000,128000,0.548125,0.78665625
anchor_tree_massive_ep1,token_minus_ctx,384,1.5302541255950928,0.45829502129405447,tree,32000,128000,0.54846875,0.78934375
anchor_tree_massive_ep1,none,256,1.5393123626708984,0.44902007246567055,l0_path,32000,128000,0.5499375,0.781125
anchor_tree_massive_ep1,token_ctx,384,1.4237967729568481,0.5032544245200328,l0_path,32000,128000,0.57775,0.81290625
anchor_tree_massive_ep2,none,128,1.5854120254516602,0.44623720770332714,l0,32000,128000,0.54128125,0.771125
anchor_tree_massive_ep2,ctx_only,128,2.075255870819092,0.14304797011363313,l0,32000,128000,0.354,0.634875
anchor_tree_massive_ep2,token_ctx,256,1.4682949781417847,0.4927131238747477,l0,32000,128000,0.56740625,0.80284375
anchor_tree_massive_ep2,token_minus_ctx,384,1.4539895057678223,0.49069076275230467,l0,32000,128000,0.56796875,0.803
anchor_tree_massive_ep2,none,128,2.1365668773651123,0.04088346972948751,path,32000,128000,0.32503125,0.62328125
anchor_tree_massive_ep2,ctx_only,128,2.236320734024048,0.04357415486148159,path,32000,128000,0.32559375,0.5606875
anchor_tree_massive_ep2,token_ctx,256,2.0996627807617188,0.06474427150301988,path,32000,128000,0.32425,0.62896875
anchor_tree_massive_ep2,token_minus_ctx,384,2.1088664531707764,0.05854702004696636,path,32000,128000,0.31821875,0.62540625
anchor_tree_massive_ep2,none,128,1.605716586112976,0.42810219859353565,cmul,32000,128000,0.5305625,0.767
anchor_tree_massive_ep2,ctx_only,128,2.1026487350463867,0.13458790640976304,cmul,32000,128000,0.351375,0.6299375
anchor_tree_massive_ep2,token_ctx,256,1.4961613416671753,0.47536029535636803,cmul,32000,128000,0.5595625,0.79609375
anchor_tree_massive_ep2,token_minus_ctx,384,1.491981029510498,0.4772366716070629,cmul,32000,128000,0.55925,0.7946875
anchor_tree_massive_ep2,none,128,1.6675727367401123,0.40679389403447463,tree,32000,128000,0.52465625,0.7551875
anchor_tree_massive_ep2,ctx_only,128,2.127686023712158,0.1247116665219226,tree,32000,128000,0.3488125,0.6235625
anchor_tree_massive_ep2,token_ctx,256,1.5670117139816284,0.4557203197091602,tree,32000,128000,0.5495,0.78903125
anchor_tree_massive_ep2,token_minus_ctx,384,1.5414682626724243,0.4598546493041263,tree,32000,128000,0.55096875,0.7879375
anchor_tree_massive_ep2,none,256,1.5457038879394531,0.4535531781980777,l0_path,32000,128000,0.54246875,0.78096875
anchor_tree_massive_ep2,token_ctx,384,1.4245891571044922,0.5014277700172151,l0_path,32000,128000,0.57159375,0.8104375
anchor_tree_massive_ep3,none,128,1.573782205581665,0.4401475449466202,l0,32000,128000,0.5410625,0.771125
anchor_tree_massive_ep3,ctx_only,128,2.0816166400909424,0.14172260269228645,l0,32000,128000,0.3525625,0.63428125
anchor_tree_massive_ep3,token_ctx,256,1.4656062126159668,0.49369584250912846,l0,32000,128000,0.5686875,0.80315625
anchor_tree_massive_ep3,token_minus_ctx,384,1.4495397806167603,0.49194444824265987,l0,32000,128000,0.566125,0.8033125
anchor_tree_massive_ep3,none,128,2.145169973373413,0.04088346972948751,path,32000,128000,0.32503125,0.622625
anchor_tree_massive_ep3,ctx_only,128,2.228956937789917,0.043068645973457685,path,32000,128000,0.32578125,0.5616875
anchor_tree_massive_ep3,token_ctx,256,2.088397264480591,0.06564041831153568,path,32000,128000,0.31875,0.6276875
anchor_tree_massive_ep3,token_minus_ctx,384,2.1051700115203857,0.06051174702575413,path,32000,128000,0.32159375,0.62534375
anchor_tree_massive_ep3,none,128,1.6184730529785156,0.436818295021022,cmul,32000,128000,0.5326875,0.7690625
anchor_tree_massive_ep3,ctx_only,128,2.101764678955078,0.1314316569352392,cmul,32000,128000,0.351375,0.6286875
anchor_tree_massive_ep3,token_ctx,256,1.5044413805007935,0.47896816276872123,cmul,32000,128000,0.56053125,0.79546875
anchor_tree_massive_ep3,token_minus_ctx,384,1.4840046167373657,0.4735114355014473,cmul,32000,128000,0.559625,0.79521875
anchor_tree_massive_ep3,none,128,1.665372610092163,0.40686223038299446,tree,32000,128000,0.52546875,0.7591875
anchor_tree_massive_ep3,ctx_only,128,2.1234116554260254,0.12504913734819753,tree,32000,128000,0.3496875,0.6216875
anchor_tree_massive_ep3,token_ctx,256,1.5579086542129517,0.45371796475939236,tree,32000,128000,0.547,0.78871875
anchor_tree_massive_ep3,token_minus_ctx,384,1.5201209783554077,0.46062855108079,tree,32000,128000,0.54934375,0.7880625
anchor_tree_massive_ep3,none,256,1.5393385887145996,0.4574648952157688,l0_path,32000,128000,0.551,0.78465625
anchor_tree_massive_ep3,token_ctx,384,1.421196699142456,0.502976397505913,l0_path,32000,128000,0.5743125,0.8096875
