timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/09 14:51:11.488, 270.00 W, 41.13 W, 40, 1 MiB, 0 %
2026/09/09 14:51:16.497, 270.00 W, 147.49 W, 53, 894 MiB, 0 %
2026/09/09 14:51:21.497, 270.00 W, 161.40 W, 57, 894 MiB, 28 %
2026/09/09 14:51:26.498, 270.00 W, 163.28 W, 58, 894 MiB, 29 %
2026/09/09 14:51:31.499, 270.00 W, 164.08 W, 59, 894 MiB, 30 %
2026/09/09 14:51:36.500, 270.00 W, 163.76 W, 60, 894 MiB, 20 %
2026/09/09 14:51:41.501, 270.00 W, 164.77 W, 60, 894 MiB, 28 %
2026/09/09 14:51:46.502, 270.00 W, 164.23 W, 61, 898 MiB, 30 %
2026/09/09 14:51:51.503, 270.00 W, 164.63 W, 61, 898 MiB, 20 %
2026/09/09 14:51:56.503, 270.00 W, 164.89 W, 62, 898 MiB, 23 %
2026/09/09 14:52:01.504, 270.00 W, 165.47 W, 62, 898 MiB, 17 %
2026/09/09 14:52:06.505, 270.00 W, 165.60 W, 62, 898 MiB, 21 %
2026/09/09 14:52:11.506, 270.00 W, 165.66 W, 63, 898 MiB, 29 %
2026/09/09 14:52:16.506, 270.00 W, 166.21 W, 63, 898 MiB, 26 %
