timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/09 14:43:31.060, 270.00 W, 40.89 W, 39, 1 MiB, 0 %
2026/09/09 14:43:36.069, 270.00 W, 149.34 W, 53, 894 MiB, 0 %
2026/09/09 14:43:41.070, 270.00 W, 160.93 W, 56, 894 MiB, 28 %
2026/09/09 14:43:46.071, 270.00 W, 160.59 W, 57, 894 MiB, 31 %
2026/09/09 14:43:51.071, 270.00 W, 162.76 W, 58, 894 MiB, 27 %
2026/09/09 14:43:56.072, 270.00 W, 162.71 W, 59, 894 MiB, 29 %
2026/09/09 14:44:01.073, 270.00 W, 164.69 W, 60, 894 MiB, 28 %
2026/09/09 14:44:06.074, 270.00 W, 163.88 W, 60, 898 MiB, 30 %
2026/09/09 14:44:11.075, 270.00 W, 164.10 W, 61, 898 MiB, 31 %
2026/09/09 14:44:16.075, 270.00 W, 165.18 W, 61, 898 MiB, 27 %
2026/09/09 14:44:21.076, 270.00 W, 164.96 W, 62, 898 MiB, 30 %
2026/09/09 14:44:26.077, 270.00 W, 165.55 W, 62, 898 MiB, 26 %
2026/09/09 14:44:31.078, 270.00 W, 165.88 W, 62, 898 MiB, 27 %
2026/09/09 14:44:36.079, 270.00 W, 165.71 W, 62, 898 MiB, 30 %
