2026/09/04 21:09:03.057, NVIDIA GeForce RTX 3090, P8, 270.00 W, 41.26 W, 42, 1 MiB, 24576 MiB, 0 %
2026/09/04 21:09:13.066, NVIDIA GeForce RTX 3090, P2, 270.00 W, 169.52 W, 60, 2020 MiB, 24576 MiB, 30 %
2026/09/04 21:09:23.068, NVIDIA GeForce RTX 3090, P2, 270.00 W, 168.49 W, 61, 2020 MiB, 24576 MiB, 25 %
2026/09/04 21:09:33.069, NVIDIA GeForce RTX 3090, P2, 270.00 W, 161.62 W, 61, 2020 MiB, 24576 MiB, 1 %
2026/09/04 21:09:43.070, NVIDIA GeForce RTX 3090, P2, 270.00 W, 204.30 W, 69, 6218 MiB, 24576 MiB, 2 %
2026/09/04 21:09:53.072, NVIDIA GeForce RTX 3090, P2, 270.00 W, 211.39 W, 67, 7222 MiB, 24576 MiB, 6 %
2026/09/04 21:10:03.073, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.34 W, 70, 7222 MiB, 24576 MiB, 16 %
2026/09/04 21:10:13.074, NVIDIA GeForce RTX 3090, P2, 270.00 W, 236.29 W, 70, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:10:23.075, NVIDIA GeForce RTX 3090, P2, 270.00 W, 213.95 W, 70, 7222 MiB, 24576 MiB, 9 %
2026/09/04 21:10:33.077, NVIDIA GeForce RTX 3090, P2, 270.00 W, 205.94 W, 67, 7222 MiB, 24576 MiB, 36 %
2026/09/04 21:10:43.078, NVIDIA GeForce RTX 3090, P2, 270.00 W, 239.21 W, 71, 7222 MiB, 24576 MiB, 31 %
2026/09/04 21:10:53.079, NVIDIA GeForce RTX 3090, P2, 270.00 W, 236.70 W, 71, 7222 MiB, 24576 MiB, 46 %
2026/09/04 21:11:03.080, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.55 W, 70, 7222 MiB, 24576 MiB, 21 %
2026/09/04 21:11:13.082, NVIDIA GeForce RTX 3090, P2, 270.00 W, 213.97 W, 69, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:11:23.083, NVIDIA GeForce RTX 3090, P2, 270.00 W, 238.37 W, 70, 7222 MiB, 24576 MiB, 5 %
2026/09/04 21:11:33.084, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.34 W, 70, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:11:43.085, NVIDIA GeForce RTX 3090, P2, 270.00 W, 231.76 W, 71, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:11:53.086, NVIDIA GeForce RTX 3090, P2, 270.00 W, 224.09 W, 71, 7222 MiB, 24576 MiB, 46 %
2026/09/04 21:12:03.088, NVIDIA GeForce RTX 3090, P2, 270.00 W, 212.93 W, 68, 7222 MiB, 24576 MiB, 43 %
2026/09/04 21:12:13.089, NVIDIA GeForce RTX 3090, P2, 270.00 W, 234.91 W, 71, 7222 MiB, 24576 MiB, 44 %
2026/09/04 21:12:23.090, NVIDIA GeForce RTX 3090, P2, 270.00 W, 241.15 W, 72, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:12:33.091, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.59 W, 70, 7222 MiB, 24576 MiB, 28 %
2026/09/04 21:12:43.093, NVIDIA GeForce RTX 3090, P2, 270.00 W, 216.83 W, 68, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:12:53.094, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.95 W, 69, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:13:03.095, NVIDIA GeForce RTX 3090, P2, 270.00 W, 238.61 W, 71, 7222 MiB, 24576 MiB, 50 %
2026/09/04 21:13:13.096, NVIDIA GeForce RTX 3090, P2, 270.00 W, 241.62 W, 71, 7222 MiB, 24576 MiB, 20 %
2026/09/04 21:13:23.097, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.43 W, 71, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:13:33.099, NVIDIA GeForce RTX 3090, P2, 270.00 W, 211.46 W, 69, 7222 MiB, 24576 MiB, 5 %
2026/09/04 21:13:43.100, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.97 W, 70, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:13:53.101, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.26 W, 71, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:14:03.102, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.00 W, 71, 7222 MiB, 24576 MiB, 45 %
2026/09/04 21:14:13.104, NVIDIA GeForce RTX 3090, P2, 270.00 W, 215.24 W, 70, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:14:23.105, NVIDIA GeForce RTX 3090, P2, 270.00 W, 224.56 W, 71, 7222 MiB, 24576 MiB, 10 %
2026/09/04 21:14:33.106, NVIDIA GeForce RTX 3090, P2, 270.00 W, 232.51 W, 69, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:14:43.107, NVIDIA GeForce RTX 3090, P2, 270.00 W, 232.15 W, 71, 7222 MiB, 24576 MiB, 45 %
2026/09/04 21:14:53.108, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.20 W, 72, 7222 MiB, 24576 MiB, 25 %
2026/09/04 21:15:03.110, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.35 W, 71, 7222 MiB, 24576 MiB, 5 %
2026/09/04 21:15:13.111, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.79 W, 70, 7222 MiB, 24576 MiB, 3 %
2026/09/04 21:15:23.112, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.37 W, 69, 7222 MiB, 24576 MiB, 43 %
2026/09/04 21:15:33.114, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.27 W, 72, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:15:43.115, NVIDIA GeForce RTX 3090, P2, 270.00 W, 212.10 W, 70, 7222 MiB, 24576 MiB, 16 %
2026/09/04 21:15:53.116, NVIDIA GeForce RTX 3090, P2, 270.00 W, 228.20 W, 71, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:16:03.117, NVIDIA GeForce RTX 3090, P2, 270.00 W, 235.51 W, 72, 7222 MiB, 24576 MiB, 21 %
2026/09/04 21:16:13.119, NVIDIA GeForce RTX 3090, P2, 270.00 W, 238.42 W, 71, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:16:23.120, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.91 W, 70, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:16:33.121, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.41 W, 72, 7222 MiB, 24576 MiB, 0 %
2026/09/04 21:16:43.123, NVIDIA GeForce RTX 3090, P2, 270.00 W, 224.74 W, 71, 7222 MiB, 24576 MiB, 6 %
2026/09/04 21:16:53.124, NVIDIA GeForce RTX 3090, P2, 270.00 W, 226.46 W, 71, 7222 MiB, 24576 MiB, 31 %
2026/09/04 21:17:03.125, NVIDIA GeForce RTX 3090, P2, 270.00 W, 224.83 W, 72, 7222 MiB, 24576 MiB, 41 %
2026/09/04 21:17:13.126, NVIDIA GeForce RTX 3090, P2, 270.00 W, 208.29 W, 69, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:17:23.128, NVIDIA GeForce RTX 3090, P2, 270.00 W, 235.97 W, 73, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:17:33.129, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.77 W, 71, 7222 MiB, 24576 MiB, 32 %
2026/09/04 21:17:43.130, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.06 W, 72, 7222 MiB, 24576 MiB, 22 %
2026/09/04 21:17:53.131, NVIDIA GeForce RTX 3090, P2, 270.00 W, 220.80 W, 72, 7222 MiB, 24576 MiB, 31 %
2026/09/04 21:18:03.133, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.76 W, 71, 7222 MiB, 24576 MiB, 9 %
2026/09/04 21:18:13.135, NVIDIA GeForce RTX 3090, P2, 270.00 W, 226.04 W, 70, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:18:23.136, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.71 W, 71, 7222 MiB, 24576 MiB, 9 %
2026/09/04 21:18:33.137, NVIDIA GeForce RTX 3090, P2, 270.00 W, 213.51 W, 70, 7222 MiB, 24576 MiB, 5 %
2026/09/04 21:18:43.138, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.77 W, 72, 7222 MiB, 24576 MiB, 32 %
2026/09/04 21:18:53.140, NVIDIA GeForce RTX 3090, P2, 270.00 W, 235.99 W, 72, 7222 MiB, 24576 MiB, 40 %
2026/09/04 21:19:03.141, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.77 W, 73, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:19:13.142, NVIDIA GeForce RTX 3090, P2, 270.00 W, 213.93 W, 72, 7222 MiB, 24576 MiB, 46 %
2026/09/04 21:19:23.143, NVIDIA GeForce RTX 3090, P2, 270.00 W, 214.86 W, 71, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:19:33.144, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.65 W, 72, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:19:43.145, NVIDIA GeForce RTX 3090, P2, 270.00 W, 229.89 W, 72, 7222 MiB, 24576 MiB, 28 %
2026/09/04 21:19:53.146, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.13 W, 73, 7222 MiB, 24576 MiB, 44 %
2026/09/04 21:20:03.148, NVIDIA GeForce RTX 3090, P2, 270.00 W, 212.87 W, 71, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:20:13.149, NVIDIA GeForce RTX 3090, P2, 270.00 W, 217.22 W, 71, 7222 MiB, 24576 MiB, 50 %
2026/09/04 21:20:23.150, NVIDIA GeForce RTX 3090, P2, 270.00 W, 214.54 W, 72, 7222 MiB, 24576 MiB, 39 %
2026/09/04 21:20:33.151, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.47 W, 72, 7222 MiB, 24576 MiB, 15 %
2026/09/04 21:20:43.152, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.93 W, 71, 7222 MiB, 24576 MiB, 20 %
2026/09/04 21:20:53.154, NVIDIA GeForce RTX 3090, P2, 270.00 W, 215.23 W, 70, 7222 MiB, 24576 MiB, 33 %
2026/09/04 21:21:03.155, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.43 W, 73, 7222 MiB, 24576 MiB, 44 %
2026/09/04 21:21:13.156, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.40 W, 71, 7222 MiB, 24576 MiB, 0 %
2026/09/04 21:21:23.157, NVIDIA GeForce RTX 3090, P2, 270.00 W, 218.46 W, 73, 7222 MiB, 24576 MiB, 52 %
2026/09/04 21:21:33.158, NVIDIA GeForce RTX 3090, P2, 270.00 W, 228.98 W, 72, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:21:43.160, NVIDIA GeForce RTX 3090, P2, 270.00 W, 210.75 W, 72, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:21:53.161, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.19 W, 71, 7222 MiB, 24576 MiB, 5 %
2026/09/04 21:22:03.162, NVIDIA GeForce RTX 3090, P2, 270.00 W, 238.23 W, 72, 7222 MiB, 24576 MiB, 49 %
2026/09/04 21:22:13.163, NVIDIA GeForce RTX 3090, P2, 270.00 W, 220.88 W, 72, 7222 MiB, 24576 MiB, 5 %
2026/09/04 21:22:23.164, NVIDIA GeForce RTX 3090, P2, 270.00 W, 205.75 W, 70, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:22:33.166, NVIDIA GeForce RTX 3090, P2, 270.00 W, 226.06 W, 72, 7222 MiB, 24576 MiB, 49 %
2026/09/04 21:22:43.167, NVIDIA GeForce RTX 3090, P2, 270.00 W, 227.94 W, 72, 7222 MiB, 24576 MiB, 47 %
2026/09/04 21:22:53.168, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.48 W, 73, 7222 MiB, 24576 MiB, 46 %
2026/09/04 21:23:03.170, NVIDIA GeForce RTX 3090, P2, 270.00 W, 210.77 W, 72, 7222 MiB, 24576 MiB, 26 %
2026/09/04 21:23:13.171, NVIDIA GeForce RTX 3090, P2, 270.00 W, 216.81 W, 71, 7222 MiB, 24576 MiB, 31 %
2026/09/04 21:23:23.172, NVIDIA GeForce RTX 3090, P2, 270.00 W, 228.88 W, 71, 7222 MiB, 24576 MiB, 38 %
2026/09/04 21:23:33.173, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.11 W, 72, 7222 MiB, 24576 MiB, 43 %
2026/09/04 21:23:43.175, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.84 W, 73, 7222 MiB, 24576 MiB, 13 %
2026/09/04 21:23:53.176, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.93 W, 73, 7222 MiB, 24576 MiB, 32 %
2026/09/04 21:24:03.177, NVIDIA GeForce RTX 3090, P2, 270.00 W, 218.97 W, 73, 7222 MiB, 24576 MiB, 0 %
2026/09/04 21:24:13.178, NVIDIA GeForce RTX 3090, P2, 270.00 W, 218.95 W, 71, 7222 MiB, 24576 MiB, 0 %
2026/09/04 21:24:23.180, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.00 W, 72, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:24:33.181, NVIDIA GeForce RTX 3090, P2, 270.00 W, 232.31 W, 73, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:24:43.182, NVIDIA GeForce RTX 3090, P2, 270.00 W, 217.83 W, 74, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:24:53.184, NVIDIA GeForce RTX 3090, P2, 270.00 W, 214.66 W, 71, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:25:03.185, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.54 W, 74, 7222 MiB, 24576 MiB, 29 %
2026/09/04 21:25:13.186, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.63 W, 72, 7222 MiB, 24576 MiB, 25 %
2026/09/04 21:25:23.187, NVIDIA GeForce RTX 3090, P2, 270.00 W, 222.38 W, 74, 7222 MiB, 24576 MiB, 46 %
2026/09/04 21:25:33.188, NVIDIA GeForce RTX 3090, P2, 270.00 W, 209.94 W, 71, 7222 MiB, 24576 MiB, 8 %
2026/09/04 21:25:43.189, NVIDIA GeForce RTX 3090, P2, 270.00 W, 227.44 W, 72, 7222 MiB, 24576 MiB, 31 %
2026/09/04 21:25:53.191, NVIDIA GeForce RTX 3090, P2, 270.00 W, 228.37 W, 72, 7222 MiB, 24576 MiB, 39 %
2026/09/04 21:26:03.192, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.27 W, 73, 7222 MiB, 24576 MiB, 30 %
2026/09/04 21:26:13.193, NVIDIA GeForce RTX 3090, P2, 270.00 W, 210.55 W, 71, 7222 MiB, 24576 MiB, 0 %
2026/09/04 21:26:23.194, NVIDIA GeForce RTX 3090, P2, 270.00 W, 236.66 W, 73, 7222 MiB, 24576 MiB, 48 %
2026/09/04 21:26:33.195, NVIDIA GeForce RTX 3090, P2, 270.00 W, 236.48 W, 72, 7222 MiB, 24576 MiB, 4 %
2026/09/04 21:26:43.197, NVIDIA GeForce RTX 3090, P2, 270.00 W, 221.67 W, 73, 7222 MiB, 24576 MiB, 19 %
