2026/09/07 13:12:55.333, NVIDIA GeForce RTX 3090, P0, 270.00 W, 182.61 W, 70, 1 MiB, 24576 MiB, 0 %
2026/09/07 13:12:57.337, NVIDIA GeForce RTX 3090, P2, 270.00 W, 129.06 W, 63, 420 MiB, 24576 MiB, 0 %
2026/09/07 13:12:59.337, NVIDIA GeForce RTX 3090, P2, 270.00 W, 159.05 W, 67, 818 MiB, 24576 MiB, 0 %
2026/09/07 13:13:01.338, NVIDIA GeForce RTX 3090, P2, 270.00 W, 182.93 W, 69, 3014 MiB, 24576 MiB, 35 %
2026/09/07 13:13:03.338, NVIDIA GeForce RTX 3090, P2, 270.00 W, 180.68 W, 69, 3014 MiB, 24576 MiB, 37 %
2026/09/07 13:13:05.339, NVIDIA GeForce RTX 3090, P2, 270.00 W, 213.39 W, 73, 6058 MiB, 24576 MiB, 47 %
2026/09/07 13:13:07.340, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.37 W, 71, 8654 MiB, 24576 MiB, 0 %
2026/09/07 13:13:09.340, NVIDIA GeForce RTX 3090, P2, 270.00 W, 242.99 W, 73, 8658 MiB, 24576 MiB, 24 %
2026/09/07 13:13:11.341, NVIDIA GeForce RTX 3090, P2, 270.00 W, 237.20 W, 72, 8658 MiB, 24576 MiB, 46 %
2026/09/07 13:13:13.341, NVIDIA GeForce RTX 3090, P2, 270.00 W, 235.83 W, 71, 8658 MiB, 24576 MiB, 34 %
2026/09/07 13:13:15.342, NVIDIA GeForce RTX 3090, P2, 270.00 W, 235.07 W, 74, 9662 MiB, 24576 MiB, 67 %
2026/09/07 13:13:17.342, NVIDIA GeForce RTX 3090, P2, 270.00 W, 227.40 W, 74, 9662 MiB, 24576 MiB, 61 %
2026/09/07 13:13:19.343, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.27 W, 72, 9662 MiB, 24576 MiB, 37 %
2026/09/07 13:13:21.344, NVIDIA GeForce RTX 3090, P2, 270.00 W, 215.90 W, 71, 9662 MiB, 24576 MiB, 8 %
2026/09/07 13:13:23.344, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.16 W, 72, 9662 MiB, 24576 MiB, 45 %
2026/09/07 13:13:25.345, NVIDIA GeForce RTX 3090, P2, 270.00 W, 204.40 W, 73, 9662 MiB, 24576 MiB, 0 %
2026/09/07 13:13:27.345, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.60 W, 72, 9662 MiB, 24576 MiB, 54 %
2026/09/07 13:13:29.346, NVIDIA GeForce RTX 3090, P2, 270.00 W, 192.04 W, 70, 9662 MiB, 24576 MiB, 0 %
2026/09/07 13:13:31.347, NVIDIA GeForce RTX 3090, P2, 270.00 W, 229.42 W, 73, 9662 MiB, 24576 MiB, 37 %
2026/09/07 13:13:33.347, NVIDIA GeForce RTX 3090, P2, 270.00 W, 209.56 W, 71, 9662 MiB, 24576 MiB, 7 %
2026/09/07 13:13:35.348, NVIDIA GeForce RTX 3090, P2, 270.00 W, 226.02 W, 73, 9662 MiB, 24576 MiB, 37 %
2026/09/07 13:13:37.348, NVIDIA GeForce RTX 3090, P2, 270.00 W, 201.69 W, 71, 9662 MiB, 24576 MiB, 4 %
2026/09/07 13:13:39.349, NVIDIA GeForce RTX 3090, P2, 270.00 W, 224.24 W, 73, 9662 MiB, 24576 MiB, 26 %
2026/09/07 13:13:41.349, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.69 W, 72, 9662 MiB, 24576 MiB, 55 %
2026/09/07 13:13:43.350, NVIDIA GeForce RTX 3090, P2, 270.00 W, 226.05 W, 73, 9662 MiB, 24576 MiB, 66 %
2026/09/07 13:13:45.351, NVIDIA GeForce RTX 3090, P2, 270.00 W, 231.19 W, 73, 9662 MiB, 24576 MiB, 45 %
2026/09/07 13:13:47.351, NVIDIA GeForce RTX 3090, P2, 270.00 W, 220.67 W, 74, 9662 MiB, 24576 MiB, 37 %
2026/09/07 13:13:49.352, NVIDIA GeForce RTX 3090, P2, 270.00 W, 234.09 W, 74, 9662 MiB, 24576 MiB, 9 %
2026/09/07 13:13:51.352, NVIDIA GeForce RTX 3090, P2, 270.00 W, 216.52 W, 74, 9662 MiB, 24576 MiB, 0 %
2026/09/07 13:13:53.353, NVIDIA GeForce RTX 3090, P2, 270.00 W, 229.88 W, 72, 9662 MiB, 24576 MiB, 45 %
2026/09/07 13:13:55.353, NVIDIA GeForce RTX 3090, P2, 270.00 W, 193.70 W, 72, 9662 MiB, 24576 MiB, 5 %
2026/09/07 13:13:57.355, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.70 W, 73, 9662 MiB, 24576 MiB, 51 %
2026/09/07 13:13:59.355, NVIDIA GeForce RTX 3090, P2, 270.00 W, 207.23 W, 71, 9662 MiB, 24576 MiB, 0 %
2026/09/07 13:14:01.356, NVIDIA GeForce RTX 3090, P2, 270.00 W, 232.69 W, 73, 9662 MiB, 24576 MiB, 48 %
2026/09/07 13:14:03.356, NVIDIA GeForce RTX 3090, P2, 270.00 W, 217.25 W, 71, 9662 MiB, 24576 MiB, 7 %
2026/09/07 13:14:05.357, NVIDIA GeForce RTX 3090, P2, 270.00 W, 232.60 W, 73, 9662 MiB, 24576 MiB, 64 %
2026/09/07 13:14:07.357, NVIDIA GeForce RTX 3090, P2, 270.00 W, 229.93 W, 71, 9662 MiB, 24576 MiB, 0 %
2026/09/07 13:14:09.358, NVIDIA GeForce RTX 3090, P2, 270.00 W, 238.48 W, 73, 9662 MiB, 24576 MiB, 30 %
2026/09/07 13:14:11.359, NVIDIA GeForce RTX 3090, P2, 270.00 W, 231.01 W, 73, 9662 MiB, 24576 MiB, 47 %
2026/09/07 13:14:13.359, NVIDIA GeForce RTX 3090, P2, 270.00 W, 238.71 W, 74, 9662 MiB, 24576 MiB, 47 %
2026/09/07 13:14:15.360, NVIDIA GeForce RTX 3090, P2, 270.00 W, 229.51 W, 74, 9662 MiB, 24576 MiB, 65 %
2026/09/07 13:14:17.360, NVIDIA GeForce RTX 3090, P2, 270.00 W, 217.52 W, 74, 9662 MiB, 24576 MiB, 62 %
2026/09/07 13:14:19.361, NVIDIA GeForce RTX 3090, P2, 270.00 W, 225.46 W, 72, 9662 MiB, 24576 MiB, 12 %
2026/09/07 13:14:21.362, NVIDIA GeForce RTX 3090, P2, 270.00 W, 191.20 W, 71, 9662 MiB, 24576 MiB, 18 %
2026/09/07 13:14:23.362, NVIDIA GeForce RTX 3090, P2, 270.00 W, 226.58 W, 73, 9662 MiB, 24576 MiB, 51 %
2026/09/07 13:14:25.363, NVIDIA GeForce RTX 3090, P2, 270.00 W, 209.13 W, 71, 9662 MiB, 24576 MiB, 5 %
2026/09/07 13:14:27.363, NVIDIA GeForce RTX 3090, P2, 270.00 W, 219.79 W, 72, 9662 MiB, 24576 MiB, 31 %
2026/09/07 13:14:29.364, NVIDIA GeForce RTX 3090, P2, 270.00 W, 223.56 W, 71, 9662 MiB, 24576 MiB, 48 %
