2026/09/07 13:07:46.943, NVIDIA GeForce RTX 3090, P5, 270.00 W, 130.53 W, 61, 1 MiB, 24576 MiB, 0 %
2026/09/07 13:07:48.950, NVIDIA GeForce RTX 3090, P0, 270.00 W, 54.35 W, 59, 420 MiB, 24576 MiB, 0 %
2026/09/07 13:07:50.950, NVIDIA GeForce RTX 3090, P2, 270.00 W, 157.62 W, 66, 818 MiB, 24576 MiB, 1 %
2026/09/07 13:07:52.951, NVIDIA GeForce RTX 3090, P2, 270.00 W, 181.19 W, 69, 3014 MiB, 24576 MiB, 37 %
2026/09/07 13:07:54.951, NVIDIA GeForce RTX 3090, P2, 270.00 W, 179.95 W, 69, 3014 MiB, 24576 MiB, 18 %
2026/09/07 13:07:56.952, NVIDIA GeForce RTX 3090, P2, 270.00 W, 220.82 W, 74, 6058 MiB, 24576 MiB, 37 %
2026/09/07 13:07:58.952, NVIDIA GeForce RTX 3090, P2, 270.00 W, 216.59 W, 71, 8654 MiB, 24576 MiB, 0 %
2026/09/07 13:08:00.953, NVIDIA GeForce RTX 3090, P2, 270.00 W, 234.94 W, 71, 8658 MiB, 24576 MiB, 35 %
2026/09/07 13:08:02.954, NVIDIA GeForce RTX 3090, P2, 270.00 W, 233.55 W, 72, 8658 MiB, 24576 MiB, 5 %
2026/09/07 13:08:04.954, NVIDIA GeForce RTX 3090, P2, 270.00 W, 245.41 W, 73, 8658 MiB, 24576 MiB, 23 %
2026/09/07 13:08:06.955, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.14 W, 73, 9662 MiB, 24576 MiB, 47 %
2026/09/07 13:08:08.956, NVIDIA GeForce RTX 3090, P2, 270.00 W, 236.22 W, 73, 9662 MiB, 24576 MiB, 47 %
2026/09/07 13:08:10.956, NVIDIA GeForce RTX 3090, P2, 270.00 W, 230.15 W, 73, 9662 MiB, 24576 MiB, 50 %
2026/09/07 13:08:12.957, NVIDIA GeForce RTX 3090, P2, 270.00 W, 229.89 W, 73, 9662 MiB, 24576 MiB, 52 %
