timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/08 17:36:52.202, 270.00 W, 41.61 W, 42, 1 MiB, 0 %
2026/09/08 17:37:02.211, 270.00 W, 170.02 W, 60, 1084 MiB, 32 %
2026/09/08 17:37:12.212, 270.00 W, 163.84 W, 61, 1116 MiB, 38 %
2026/09/08 17:37:22.213, 270.00 W, 164.32 W, 62, 1116 MiB, 9 %
2026/09/08 17:37:32.214, 270.00 W, 169.18 W, 63, 1116 MiB, 19 %
2026/09/08 17:37:42.216, 270.00 W, 168.63 W, 64, 1116 MiB, 32 %
2026/09/08 17:37:52.217, 270.00 W, 172.04 W, 65, 1116 MiB, 32 %
2026/09/08 17:38:02.218, 270.00 W, 173.41 W, 65, 1116 MiB, 23 %
2026/09/08 17:38:12.219, 270.00 W, 170.99 W, 65, 1116 MiB, 11 %
2026/09/08 17:38:22.221, 270.00 W, 169.57 W, 65, 1116 MiB, 12 %
2026/09/08 17:38:32.222, 270.00 W, 174.79 W, 66, 1116 MiB, 37 %
2026/09/08 17:38:42.223, 270.00 W, 175.36 W, 66, 1116 MiB, 29 %
2026/09/08 17:38:52.225, 270.00 W, 174.23 W, 67, 1116 MiB, 15 %
2026/09/08 17:39:02.226, 270.00 W, 171.23 W, 66, 1116 MiB, 37 %
2026/09/08 17:39:12.227, 270.00 W, 176.08 W, 67, 1116 MiB, 25 %
2026/09/08 17:39:22.228, 270.00 W, 171.50 W, 67, 1124 MiB, 12 %
2026/09/08 17:39:32.229, 270.00 W, 174.34 W, 67, 1124 MiB, 33 %
2026/09/08 17:39:42.230, 270.00 W, 174.01 W, 67, 1124 MiB, 29 %
