timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/08 17:22:07.113, 270.00 W, 41.35 W, 41, 1 MiB, 0 %
2026/09/08 17:22:17.123, 270.00 W, 169.05 W, 59, 1086 MiB, 33 %
2026/09/08 17:22:27.124, 270.00 W, 165.63 W, 60, 1116 MiB, 21 %
2026/09/08 17:22:37.125, 270.00 W, 164.38 W, 61, 1116 MiB, 4 %
2026/09/08 17:22:47.126, 270.00 W, 168.22 W, 62, 1116 MiB, 11 %
2026/09/08 17:22:57.127, 270.00 W, 167.57 W, 63, 1116 MiB, 34 %
2026/09/08 17:23:07.129, 270.00 W, 168.61 W, 63, 1116 MiB, 39 %
2026/09/08 17:23:17.130, 270.00 W, 172.38 W, 64, 1116 MiB, 28 %
2026/09/08 17:23:27.131, 270.00 W, 173.09 W, 65, 1116 MiB, 24 %
2026/09/08 17:23:37.132, 270.00 W, 170.74 W, 65, 1116 MiB, 37 %
2026/09/08 17:23:47.133, 270.00 W, 170.63 W, 65, 1116 MiB, 19 %
2026/09/08 17:23:57.135, 270.00 W, 172.14 W, 66, 1116 MiB, 27 %
2026/09/08 17:24:07.136, 270.00 W, 171.16 W, 66, 1116 MiB, 10 %
2026/09/08 17:24:17.137, 270.00 W, 172.39 W, 67, 1116 MiB, 32 %
2026/09/08 17:24:27.139, 270.00 W, 172.51 W, 67, 1116 MiB, 39 %
2026/09/08 17:24:37.140, 270.00 W, 176.12 W, 67, 1120 MiB, 26 %
2026/09/08 17:24:47.141, 270.00 W, 176.15 W, 67, 1120 MiB, 26 %
2026/09/08 17:24:57.142, 270.00 W, 175.33 W, 67, 1120 MiB, 33 %
