2026/09/08 07:21:02.147, NVIDIA GeForce RTX 3090, P8, 270.00 W, 41.45 W, 46, 1 MiB, 24576 MiB, 0 %
2026/09/08 07:21:12.156, NVIDIA GeForce RTX 3090, P2, 270.00 W, 175.40 W, 64, 2878 MiB, 24576 MiB, 28 %
2026/09/08 07:21:22.157, NVIDIA GeForce RTX 3090, P2, 270.00 W, 175.82 W, 64, 2878 MiB, 24576 MiB, 15 %
2026/09/08 07:21:32.158, NVIDIA GeForce RTX 3090, P2, 270.00 W, 166.87 W, 64, 2880 MiB, 24576 MiB, 29 %
2026/09/08 07:21:42.160, NVIDIA GeForce RTX 3090, P2, 270.00 W, 166.89 W, 64, 2880 MiB, 24576 MiB, 25 %
2026/09/08 07:21:52.161, NVIDIA GeForce RTX 3090, P2, 270.00 W, 180.77 W, 66, 2880 MiB, 24576 MiB, 30 %
2026/09/08 07:22:02.162, NVIDIA GeForce RTX 3090, P2, 270.00 W, 175.57 W, 66, 2880 MiB, 24576 MiB, 20 %
2026/09/08 07:22:12.163, NVIDIA GeForce RTX 3090, P2, 270.00 W, 169.71 W, 66, 2880 MiB, 24576 MiB, 21 %
2026/09/08 07:22:22.164, NVIDIA GeForce RTX 3090, P2, 270.00 W, 168.13 W, 66, 2880 MiB, 24576 MiB, 27 %
2026/09/08 07:22:32.166, NVIDIA GeForce RTX 3090, P2, 270.00 W, 186.38 W, 68, 6086 MiB, 24576 MiB, 38 %
2026/09/08 07:22:42.167, NVIDIA GeForce RTX 3090, P2, 270.00 W, 193.02 W, 68, 6086 MiB, 24576 MiB, 21 %
2026/09/08 07:22:52.168, NVIDIA GeForce RTX 3090, P2, 270.00 W, 175.93 W, 68, 6086 MiB, 24576 MiB, 32 %
2026/09/08 07:23:02.170, NVIDIA GeForce RTX 3090, P2, 270.00 W, 176.43 W, 66, 6086 MiB, 24576 MiB, 2 %
2026/09/08 07:23:12.171, NVIDIA GeForce RTX 3090, P2, 270.00 W, 190.66 W, 69, 6086 MiB, 24576 MiB, 36 %
2026/09/08 07:23:22.172, NVIDIA GeForce RTX 3090, P2, 270.00 W, 193.80 W, 69, 6086 MiB, 24576 MiB, 18 %
