2026/09/04 11:29:58.634, NVIDIA GeForce RTX 3090, 270.00 W, 169.89 W, 68, 1 MiB, 24576 MiB, 0 %
2026/09/04 11:30:00.638, NVIDIA GeForce RTX 3090, 270.00 W, 139.07 W, 64, 654 MiB, 24576 MiB, 0 %
2026/09/04 11:30:02.639, NVIDIA GeForce RTX 3090, 270.00 W, 171.70 W, 67, 1820 MiB, 24576 MiB, 2 %
2026/09/04 11:30:04.639, NVIDIA GeForce RTX 3090, 270.00 W, 214.30 W, 72, 3056 MiB, 24576 MiB, 32 %
2026/09/04 11:30:06.640, NVIDIA GeForce RTX 3090, 270.00 W, 222.90 W, 72, 3056 MiB, 24576 MiB, 27 %
2026/09/04 11:30:08.641, NVIDIA GeForce RTX 3090, 270.00 W, 220.76 W, 73, 3308 MiB, 24576 MiB, 44 %
2026/09/04 11:30:10.641, NVIDIA GeForce RTX 3090, 270.00 W, 218.80 W, 73, 3308 MiB, 24576 MiB, 44 %
2026/09/04 11:30:12.642, NVIDIA GeForce RTX 3090, 270.00 W, 227.82 W, 73, 3308 MiB, 24576 MiB, 45 %
2026/09/04 11:30:14.643, NVIDIA GeForce RTX 3090, 270.00 W, 221.01 W, 71, 3308 MiB, 24576 MiB, 4 %
2026/09/04 11:30:16.643, NVIDIA GeForce RTX 3090, 270.00 W, 222.55 W, 73, 3308 MiB, 24576 MiB, 30 %
2026/09/04 11:30:18.644, NVIDIA GeForce RTX 3090, 270.00 W, 222.77 W, 73, 3308 MiB, 24576 MiB, 44 %
2026/09/04 11:30:20.645, NVIDIA GeForce RTX 3090, 270.00 W, 219.45 W, 73, 3308 MiB, 24576 MiB, 24 %
2026/09/04 11:30:22.645, NVIDIA GeForce RTX 3090, 270.00 W, 222.07 W, 73, 3310 MiB, 24576 MiB, 23 %
2026/09/04 11:30:24.646, NVIDIA GeForce RTX 3090, 270.00 W, 227.13 W, 73, 3310 MiB, 24576 MiB, 36 %
2026/09/04 11:30:26.646, NVIDIA GeForce RTX 3090, 270.00 W, 217.07 W, 71, 3310 MiB, 24576 MiB, 32 %
2026/09/04 11:30:28.647, NVIDIA GeForce RTX 3090, 270.00 W, 226.64 W, 73, 3310 MiB, 24576 MiB, 38 %
2026/09/04 11:30:30.648, NVIDIA GeForce RTX 3090, 270.00 W, 220.16 W, 73, 3310 MiB, 24576 MiB, 26 %
