channel,filter,coord,merge,node,root_depth,path_bits,right_count,raw_value,normalized_value,centered
base,uniform-gain,0,0,0,4,0000,0,1.0,1.0,0
base,uniform-gain,1,0,1,4,0001,1,1.0,1.0,0
base,uniform-gain,2,0,2,4,0010,1,1.0,1.0,0
base,uniform-gain,3,0,3,4,0011,2,1.0,1.0,0
base,uniform-gain,4,0,4,4,0100,1,1.0,1.0,0
base,uniform-gain,5,0,5,4,0101,2,1.0,1.0,0
base,uniform-gain,16,1,0,3,000,0,1.0,1.0,0
base,uniform-gain,17,1,1,3,001,1,1.0,1.0,0
base,uniform-gain,18,1,2,3,010,1,1.0,1.0,0
base,uniform-gain,24,2,0,2,00,0,1.0,1.0,0
base,uniform-gain,28,3,0,1,0,0,1.0,1.0,0
base,pascal-middle,0,0,0,4,0000,0,1.0,-1.1414708340665698,1
base,pascal-middle,1,0,1,4,0001,1,4.0,0.4962916669854652,1
base,pascal-middle,2,0,2,4,0010,1,4.0,0.4962916669854652,1
base,pascal-middle,3,0,3,4,0011,2,6.0,1.5881333343534885,1
base,pascal-middle,4,0,4,4,0100,1,4.0,0.4962916669854652,1
base,pascal-middle,5,0,5,4,0101,2,6.0,1.5881333343534885,1
base,pascal-middle,16,1,0,3,000,0,1.0,-1.1414708340665698,1
base,pascal-middle,17,1,1,3,001,1,3.0,-0.04962916669854647,1
base,pascal-middle,18,1,2,3,010,1,3.0,-0.04962916669854647,1
base,pascal-middle,24,2,0,2,00,0,1.0,-1.1414708340665698,1
base,pascal-middle,28,3,0,1,0,0,1.0,-1.1414708340665698,1
base,binomial-left-p025,0,0,0,4,0000,0,0.31640625,0.3067881312103652,1
base,binomial-left-p025,1,0,1,4,0001,1,0.10546875,-0.6277357146304395,1
base,binomial-left-p025,2,0,2,4,0010,1,0.10546875,-0.6277357146304395,1
base,binomial-left-p025,3,0,3,4,0011,2,0.03515625,-0.9392436632440411,1
base,binomial-left-p025,4,0,4,4,0100,1,0.10546875,-0.6277357146304395,1
base,binomial-left-p025,5,0,5,4,0101,2,0.03515625,-0.9392436632440411,1
base,binomial-left-p025,16,1,0,3,000,0,0.421875,0.7740500541307676,1
base,binomial-left-p025,17,1,1,3,001,1,0.140625,-0.47198174032363877,1
base,binomial-left-p025,18,1,2,3,010,1,0.140625,-0.47198174032363877,1
base,binomial-left-p025,24,2,0,2,00,0,0.5625,1.3970659513579706,1
base,binomial-left-p025,28,3,0,1,0,0,0.75,2.2277538143275746,1
base,binomial-right-p075,0,0,0,4,0000,0,0.00390625,-0.6699740805441482,1
base,binomial-right-p075,1,0,1,4,0001,1,0.01171875,-0.5520586423683781,1
base,binomial-right-p075,2,0,2,4,0010,1,0.01171875,-0.5520586423683781,1
base,binomial-right-p075,3,0,3,4,0011,2,0.03515625,-0.19831232784106784,1
base,binomial-right-p075,4,0,4,4,0100,1,0.01171875,-0.5520586423683781,1
base,binomial-right-p075,5,0,5,4,0101,2,0.03515625,-0.19831232784106784,1
base,binomial-right-p075,16,1,0,3,000,0,0.015625,-0.49310092328049304,1
base,binomial-right-p075,17,1,1,3,001,1,0.046875,-0.021439170577412722,1
base,binomial-right-p075,18,1,2,3,010,1,0.046875,-0.021439170577412722,1
base,binomial-right-p075,24,2,0,2,00,0,0.0625,0.21439170577412744,1
base,binomial-right-p075,28,3,0,1,0,0,0.25,3.0443622219926096,1
base,haar-local-sibling,0,0,0,4,0000,0,1.0,0.7559289460184545,1
base,haar-local-sibling,1,0,1,4,0001,1,-1.0,-1.3228756555322954,1
base,haar-local-sibling,2,0,2,4,0010,1,1.0,0.7559289460184545,1
base,haar-local-sibling,3,0,3,4,0011,2,-1.0,-1.3228756555322954,1
base,haar-local-sibling,4,0,4,4,0100,1,1.0,0.7559289460184545,1
base,haar-local-sibling,5,0,5,4,0101,2,-1.0,-1.3228756555322954,1
base,haar-local-sibling,16,1,0,3,000,0,1.0,0.7559289460184545,1
base,haar-local-sibling,17,1,1,3,001,1,-1.0,-1.3228756555322954,1
base,haar-local-sibling,18,1,2,3,010,1,1.0,0.7559289460184545,1
base,haar-local-sibling,24,2,0,2,00,0,1.0,0.7559289460184545,1
base,haar-local-sibling,28,3,0,1,0,0,1.0,0.7559289460184545,1
base,depth-fine-minus-coarse,0,0,0,4,0000,0,4.0,0.7559289460184543,1
base,depth-fine-minus-coarse,1,0,1,4,0001,1,4.0,0.7559289460184543,1
base,depth-fine-minus-coarse,2,0,2,4,0010,1,4.0,0.7559289460184543,1
base,depth-fine-minus-coarse,3,0,3,4,0011,2,4.0,0.7559289460184543,1
base,depth-fine-minus-coarse,4,0,4,4,0100,1,4.0,0.7559289460184543,1
base,depth-fine-minus-coarse,5,0,5,4,0101,2,4.0,0.7559289460184543,1
base,depth-fine-minus-coarse,16,1,0,3,000,0,3.0,-0.28347335475692065,1
base,depth-fine-minus-coarse,17,1,1,3,001,1,3.0,-0.28347335475692065,1
base,depth-fine-minus-coarse,18,1,2,3,010,1,3.0,-0.28347335475692065,1
base,depth-fine-minus-coarse,24,2,0,2,00,0,2.0,-1.3228756555322956,1
base,depth-fine-minus-coarse,28,3,0,1,0,0,1.0,-2.3622779563076706,1
extra,uniform-gain,0,0,0,4,0000,0,1.0,1.0,0
extra,uniform-gain,1,0,1,4,0001,1,1.0,1.0,0
extra,uniform-gain,2,0,2,4,0010,1,1.0,1.0,0
extra,uniform-gain,3,0,3,4,0011,2,1.0,1.0,0
extra,uniform-gain,4,0,4,4,0100,1,1.0,1.0,0
extra,uniform-gain,5,0,5,4,0101,2,1.0,1.0,0
extra,uniform-gain,16,1,0,3,000,0,1.0,1.0,0
extra,uniform-gain,17,1,1,3,001,1,1.0,1.0,0
extra,uniform-gain,18,1,2,3,010,1,1.0,1.0,0
extra,uniform-gain,24,2,0,2,00,0,1.0,1.0,0
extra,uniform-gain,28,3,0,1,0,0,1.0,1.0,0
extra,pascal-middle,0,0,0,4,0000,0,1.0,-1.1414708340665698,1
extra,pascal-middle,1,0,1,4,0001,1,4.0,0.4962916669854652,1
extra,pascal-middle,2,0,2,4,0010,1,4.0,0.4962916669854652,1
extra,pascal-middle,3,0,3,4,0011,2,6.0,1.5881333343534885,1
extra,pascal-middle,4,0,4,4,0100,1,4.0,0.4962916669854652,1
extra,pascal-middle,5,0,5,4,0101,2,6.0,1.5881333343534885,1
extra,pascal-middle,16,1,0,3,000,0,1.0,-1.1414708340665698,1
extra,pascal-middle,17,1,1,3,001,1,3.0,-0.04962916669854647,1
extra,pascal-middle,18,1,2,3,010,1,3.0,-0.04962916669854647,1
extra,pascal-middle,24,2,0,2,00,0,1.0,-1.1414708340665698,1
extra,pascal-middle,28,3,0,1,0,0,1.0,-1.1414708340665698,1
extra,binomial-left-p025,0,0,0,4,0000,0,0.31640625,0.3067881312103652,1
extra,binomial-left-p025,1,0,1,4,0001,1,0.10546875,-0.6277357146304395,1
