intervention,channel,decode_step,tree_depth,js,max_abs_delta,baseline_argmax,pulse_argmax,branch_flip,baseline_entropy,pulse_entropy
base:uniform-gain:eps-0.10,base,0,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,0,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,0,2,3.0363909900188446e-05,0.007336795330047607,0,0,0,0.6373838186264038,0.6322184801101685
base:uniform-gain:eps-0.10,base,0,3,4.496274050325155e-05,0.00733676552772522,0,0,0,0.9930499792098999,0.9963366985321045
base:uniform-gain:eps-0.10,base,0,4,7.061287760734558e-05,0.004229933023452759,0,0,0,1.5890429019927979,1.5966047048568726
base:uniform-gain:eps-0.10,base,0,5,7.185412687249482e-05,0.002128858119249344,0,0,0,2.2367615699768066,2.244772434234619
base:uniform-gain:eps-0.10,base,1,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,1,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,1,2,2.9066577553749084e-05,0.006988883018493652,0,0,0,0.6139586567878723,0.608043372631073
base:uniform-gain:eps-0.10,base,1,3,4.7162582632154226e-05,0.009620428085327148,0,0,0,0.9895931482315063,0.9822559356689453
base:uniform-gain:eps-0.10,base,1,4,5.252560367807746e-05,0.007191985845565796,0,0,0,1.6770100593566895,1.6691045761108398
base:uniform-gain:eps-0.10,base,1,5,5.966983735561371e-05,0.00566573441028595,2,1,1,2.355576276779175,2.3478505611419678
base:uniform-gain:eps-0.10,base,2,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,2,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,2,2,2.0235893316566944e-06,0.0018145442008972168,0,0,0,0.5945155620574951,0.5928086042404175
base:uniform-gain:eps-0.10,base,2,3,1.9044033251702785e-05,0.005736649036407471,0,0,0,1.0177161693572998,1.012744426727295
base:uniform-gain:eps-0.10,base,2,4,2.0660256268456578e-05,0.0042501091957092285,0,0,0,1.6899428367614746,1.6842668056488037
base:uniform-gain:eps-0.10,base,2,5,2.1433617803268135e-05,0.0022960305213928223,1,1,0,2.3639636039733887,2.3583130836486816
base:uniform-gain:eps-0.10,base,3,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,3,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,3,2,1.1178082786500454e-05,0.004552483558654785,0,0,0,0.6537303924560547,0.6562941074371338
base:uniform-gain:eps-0.10,base,3,3,6.349291652441025e-05,0.008884385228157043,0,0,0,1.049169898033142,1.042697548866272
base:uniform-gain:eps-0.10,base,3,4,6.57734926789999e-05,0.005942091345787048,0,0,0,1.7113738059997559,1.7047330141067505
base:uniform-gain:eps-0.10,base,3,5,6.649864371865988e-05,0.003048691898584366,1,1,0,2.3707430362701416,2.3639888763427734
base:uniform-gain:eps-0.10,base,4,0,0.0,0.0,0,0,0,-0.0,-0.0
base:uniform-gain:eps-0.10,base,4,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base:uniform-gain:eps-0.10,base,4,2,0.00011810497380793095,0.014283061027526855,0,0,0,0.6177819967269897,0.6288454532623291
base:uniform-gain:eps-0.10,base,4,3,0.00033177388831973076,0.019589081406593323,0,0,0,1.039624571800232,1.028075098991394
base:uniform-gain:eps-0.10,base,4,4,0.0003489117370918393,0.013052843511104584,0,0,0,1.7085907459259033,1.6957528591156006
base:uniform-gain:eps-0.10,base,4,5,0.00034998980117961764,0.0072417110204696655,1,1,0,2.3293819427490234,2.3157219886779785
base:uniform-gain:eps-0.10,base,5,0,0.0,0.0,0,0,0,-0.0,-0.0
