channel,filter_a,filter_b,epsilon,fold_interaction_l2,fold_relative_interaction,convolved_interaction_l2,convolved_relative_interaction,logit_interaction_l2,logit_interaction_max_abs,logit_relative_interaction,combined_fixed_argmax_changes,combined_free_text
base,binomial-left-p025,binomial-right-p075,0.01,0.003606739354153967,0.0035774642589028955,0.004762562651375587,0.004612178020617879,0.06080164760351181,0.00043773651123046875,0.008567949756979942,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base,binomial-left-p025,binomial-right-p075,0.1,0.2850493584355644,0.02775221292770944,0.41468416059518554,0.03948593969150783,5.876889228820801,0.055585503578186035,0.083272285759449,1,"The Westin is a stone-shaped stone's throw from the mountain of the mountain, and the rest of"
base,pascal-middle,haar-local-sibling,0.01,0.0033327759113317553,0.004048403194193143,0.006427319699966072,0.007137037419673947,0.0638134628534317,0.0005540847778320312,0.009465151466429234,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base,pascal-middle,haar-local-sibling,0.1,0.3353280513450796,0.04136481330861056,0.6053843684504627,0.06833303306993449,6.3349151611328125,0.05262565612792969,0.09261512756347656,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base,pascal-middle,depth-fine-minus-coarse,0.01,0.004117180417191428,0.004222743658355819,0.005498330002733276,0.005382712159473497,0.04139008745551109,0.00035369396209716797,0.00615190714597702,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base,pascal-middle,depth-fine-minus-coarse,0.1,0.4761277517231103,0.05114267162678182,0.6149321757598325,0.06308969895592512,4.181141376495361,0.029186487197875977,0.06349653005599976,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base,uniform-gain,pascal-middle,0.01,0.005751978443595359,0.0043710667240478345,0.0076972587992764395,0.00561239884715939,0.06995798647403717,0.0004792213439941406,0.0074739339761435986,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base,uniform-gain,pascal-middle,0.1,0.596922515234678,0.04435897450198655,0.760057499309425,0.05436461095202775,6.393560409545898,0.0455784797668457,0.06869236379861832,3,"The Westin is a stone-somega-sale of the mountain of the mountain, and the oldest of"
extra,binomial-left-p025,binomial-right-p075,0.01,0.00016987160498527633,0.0037102550937719724,0.00015959604734534804,0.00264917121604499,0.0031569553539156914,2.2411346435546875e-05,0.0034667367581278086,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,binomial-left-p025,binomial-right-p075,0.1,0.011826750985602095,0.025337252942992914,0.019424488024167248,0.03226875799444548,0.6356828808784485,0.004244804382324219,0.07256022840738297,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,pascal-middle,haar-local-sibling,0.01,0.00015241212572881095,0.004585414230159101,0.00013835882760525935,0.00311511107811538,0.0010853367857635021,9.298324584960938e-06,0.0016947275726124644,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,pascal-middle,haar-local-sibling,0.1,0.014792986293852589,0.04517219054576933,0.014050895701511489,0.03184179679815357,0.1322837918996811,0.0010404586791992188,0.020306380465626717,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,pascal-middle,depth-fine-minus-coarse,0.01,0.00018974667356022975,0.004399579128205199,0.0002003472169885211,0.0033473699503625775,0.0036205127835273743,2.5510787963867188e-05,0.0037313848733901978,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,pascal-middle,depth-fine-minus-coarse,0.1,0.02235973634621416,0.05456649861877147,0.024610203350813337,0.04239076338830058,0.29377391934394836,0.0027539730072021484,0.030243758112192154,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,uniform-gain,pascal-middle,0.01,0.00026022086508679677,0.004508149624497543,0.00031201048682254055,0.00432856809728584,0.0037127877585589886,3.457069396972656e-05,0.0031179524958133698,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
extra,uniform-gain,pascal-middle,0.1,0.02731811569512242,0.04625590766775932,0.03284603046850867,0.04449056128991373,0.3895624279975891,0.0036950111389160156,0.032160013914108276,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
