label,channel,filter,epsilon,fold_tree_l2,fold_tree_max_abs,convolved_tree_l2,convolved_tree_max_abs,logit_l2,logit_max_abs,route_max_js,route_branch_flips,fixed_argmax_changes,free_text
base:uniform-gain:eps-0.10,base,uniform-gain,-0.1,7.923832928274313,1.301234245300293,8.078903765368615,1.301234245300293,58.46073913574219,0.40458154678344727,0.0004690233326982707,2,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:uniform-gain:eps-0.01,base,uniform-gain,-0.01,0.8393361267982853,0.1377859115600586,0.8549041507523913,0.1377859115600586,5.934164047241211,0.037787437438964844,4.9726368160918355e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:uniform-gain:eps+0.01,base,uniform-gain,0.01,0.849745556399035,0.13947391510009766,0.8652586870116251,0.13947391510009766,5.951991081237793,0.038116455078125,5.043504643253982e-06,1,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:uniform-gain:eps+0.10,base,uniform-gain,0.1,8.959328420016666,1.4689502716064453,9.104503011555664,1.4689502716064453,59.956905364990234,0.40080976486206055,0.0005418057553470135,4,3,"The Westin is a stone-somega-sale of the mountain, which is the oldest and most of"
base:pascal-middle:eps-0.10,base,pascal-middle,-0.1,4.844726928372593,0.8760957717895508,5.253649650660542,0.8769693374633789,35.25351333618164,0.3605465888977051,0.00043404794996604323,2,1,"The Westin is a stone-somega-sale of the mountain of the mountain, which is the oldest"
base:pascal-middle:eps-0.01,base,pascal-middle,-0.01,0.46965659193711085,0.08254623413085938,0.5099354977366047,0.08279609680175781,3.4269320964813232,0.03576803207397461,4.4301123125478625e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:pascal-middle:eps+0.01,base,pascal-middle,0.01,0.46617542143757434,0.08140754699707031,0.5062152605264074,0.08170795440673828,3.4082717895507812,0.03566598892211914,4.4117041397839785e-06,1,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base:pascal-middle:eps+0.10,base,pascal-middle,0.1,4.497306425583909,0.7627372741699219,4.8762372308991955,0.7688636779785156,33.118370056152344,0.35150671005249023,0.0004096225602552295,6,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base:binomial-left-p025:eps-0.10,base,binomial-left-p025,-0.1,4.854766989323029,0.988494873046875,5.041463837131016,0.9910163879394531,34.43881607055664,0.3496880531311035,0.0003243248211219907,4,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base:binomial-left-p025:eps-0.01,base,binomial-left-p025,-0.01,0.5091192443212548,0.1068582534790039,0.5288385799328988,0.10689449310302734,3.4646008014678955,0.034184932708740234,3.188426489941776e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:binomial-left-p025:eps+0.01,base,binomial-left-p025,0.01,0.5135460834156349,0.10844039916992188,0.5334262080815737,0.1084756851196289,3.464116096496582,0.034006595611572266,3.10115865431726e-06,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:binomial-left-p025:eps+0.10,base,binomial-left-p025,0.1,5.284506672693196,1.1430902481079102,5.487651798071589,1.1434431076049805,34.500823974609375,0.33127784729003906,0.0003007629420608282,1,1,"The Westin is a stone-shaped stone's throw from the mountain of the mountain, and the oldest of"
base:binomial-right-p075:eps-0.10,base,binomial-right-p075,-0.1,4.587013304367657,0.7762112617492676,4.647808184313704,0.7761049270629883,34.54095458984375,0.2612501382827759,5.927190068177879e-05,1,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
base:binomial-right-p075:eps-0.01,base,binomial-right-p075,-0.01,0.4903148246028063,0.0841360092163086,0.49521196022830744,0.08412742614746094,3.6164705753326416,0.026251554489135742,5.601104930974543e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:binomial-right-p075:eps+0.01,base,binomial-right-p075,0.01,0.4946371191325942,0.0850076675415039,0.4991797782916547,0.08499908447265625,3.6322901248931885,0.026183009147644043,5.759866326116025e-07,0,0,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside of"
base:binomial-right-p075:eps+0.10,base,binomial-right-p075,0.1,4.9867233056177955,0.8574295043945312,5.014419925706428,0.8573389053344727,36.073551177978516,0.24562346935272217,5.17981534358114e-05,2,1,"The Westin is a stone-shaped stone's throw from the mountain of the mountain, and the rest of"
base:haar-local-sibling:eps-0.10,base,haar-local-sibling,-0.1,3.5178679601786267,0.48117876052856445,3.8698242869240853,0.5113406181335449,31.525136947631836,0.22704458236694336,0.0004850059049203992,4,1,"The Westin is a mountainous stone, which is a stone's throw from the mountain of the hillside,"
