timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/10 10:03:28.500, 270.00 W, 40.54 W, 37, 1 MiB, 0 %
2026/09/10 10:03:33.509, 270.00 W, 155.31 W, 51, 872 MiB, 27 %
2026/09/10 10:03:38.510, 270.00 W, 155.01 W, 54, 872 MiB, 26 %
2026/09/10 10:03:43.511, 270.00 W, 156.14 W, 55, 872 MiB, 25 %
2026/09/10 10:03:48.512, 270.00 W, 156.66 W, 56, 872 MiB, 25 %
2026/09/10 10:03:53.512, 270.00 W, 157.60 W, 56, 872 MiB, 26 %
2026/09/10 10:03:58.513, 270.00 W, 159.32 W, 57, 872 MiB, 26 %
2026/09/10 10:04:03.514, 270.00 W, 159.43 W, 57, 872 MiB, 26 %
2026/09/10 10:04:08.515, 270.00 W, 160.09 W, 58, 872 MiB, 26 %
2026/09/10 10:04:13.515, 270.00 W, 160.46 W, 59, 872 MiB, 26 %
2026/09/10 10:04:18.516, 270.00 W, 160.61 W, 59, 872 MiB, 26 %
2026/09/10 10:04:23.517, 270.00 W, 160.89 W, 59, 872 MiB, 27 %
2026/09/10 10:04:28.518, 270.00 W, 161.30 W, 60, 872 MiB, 27 %
2026/09/10 10:04:33.518, 270.00 W, 161.90 W, 60, 872 MiB, 26 %
2026/09/10 10:04:38.519, 270.00 W, 162.35 W, 60, 872 MiB, 27 %
2026/09/10 10:04:43.520, 270.00 W, 162.99 W, 61, 872 MiB, 27 %
2026/09/10 10:04:48.521, 270.00 W, 162.58 W, 61, 872 MiB, 27 %
2026/09/10 10:04:53.521, 270.00 W, 162.78 W, 61, 872 MiB, 27 %
2026/09/10 10:04:58.522, 270.00 W, 162.94 W, 61, 872 MiB, 27 %
2026/09/10 10:05:03.523, 270.00 W, 163.08 W, 62, 872 MiB, 26 %
2026/09/10 10:05:08.524, 270.00 W, 163.52 W, 62, 872 MiB, 26 %
2026/09/10 10:05:13.524, 270.00 W, 162.44 W, 62, 872 MiB, 24 %
2026/09/10 10:05:18.525, 270.00 W, 162.46 W, 62, 872 MiB, 22 %
2026/09/10 10:05:23.526, 270.00 W, 162.74 W, 62, 872 MiB, 24 %
2026/09/10 10:05:28.527, 270.00 W, 162.75 W, 62, 872 MiB, 23 %
2026/09/10 10:05:33.527, 270.00 W, 162.68 W, 62, 872 MiB, 24 %
2026/09/10 10:05:38.528, 270.00 W, 163.05 W, 62, 872 MiB, 25 %
2026/09/10 10:05:43.529, 270.00 W, 163.05 W, 63, 872 MiB, 24 %
2026/09/10 10:05:48.530, 270.00 W, 162.73 W, 63, 872 MiB, 23 %
2026/09/10 10:05:53.531, 270.00 W, 163.14 W, 63, 872 MiB, 23 %
2026/09/10 10:05:58.531, 270.00 W, 163.14 W, 63, 872 MiB, 23 %
2026/09/10 10:06:03.532, 270.00 W, 163.57 W, 63, 872 MiB, 23 %
2026/09/10 10:06:08.533, 270.00 W, 163.93 W, 63, 872 MiB, 23 %
2026/09/10 10:06:13.534, 270.00 W, 163.99 W, 63, 872 MiB, 24 %
2026/09/10 10:06:18.535, 270.00 W, 163.77 W, 63, 872 MiB, 23 %
2026/09/10 10:06:23.535, 270.00 W, 164.27 W, 63, 872 MiB, 23 %
2026/09/10 10:06:28.536, 270.00 W, 163.76 W, 64, 872 MiB, 22 %
2026/09/10 10:06:33.537, 270.00 W, 163.96 W, 64, 872 MiB, 24 %
2026/09/10 10:06:38.538, 270.00 W, 164.28 W, 64, 872 MiB, 24 %
