specimen,source,label,family,coords,coordinate_count,active_count,amplitude_u,per_node_gain,filter_l2,push_coverage,push_best_rank,push_best_probability,push_best_token_id,push_best_step,fixed_logit_max_abs_delta,hard_push_hit,free_text
push-single,推。,baseline,baseline,,0,1,0.0,1.0,0.0,0.0004577040672302246,43,0.00022965345124248415,30,5,0.0,0,The following is the example.
push-single,推。,uniform-all-u-4,uniform-all,0,1,1,-4.0,0.6668479883562345,4.0,0.0003331899642944336,49,0.00017550871416460723,30,5,2.2243781089782715,0,The right hand
push-single,推。,fine-jump-m0n0-u-4,fine-jump,0,1,1,-4.0,0.6668479883562345,4.0,0.0003331899642944336,49,0.00017550871416460723,30,5,2.2243781089782715,0,The right hand
push-single,推。,uniform-all-u-2,uniform-all,0,1,1,-2.0,0.6764616329823152,2.0,0.0003356337547302246,49,0.00017685125931166112,30,5,2.1842527389526367,0,The right hand
push-single,推。,fine-jump-m0n0-u-2,fine-jump,0,1,1,-2.0,0.6764616329823152,2.0,0.0003356337547302246,49,0.00017685125931166112,30,5,2.1842527389526367,0,The right hand
push-single,推。,uniform-all-u-1,uniform-all,0,1,1,-1.0,0.7343277260358962,1.0,0.000353395938873291,47,0.00018509334768168628,30,5,1.9073476791381836,0,The right hand
push-single,推。,fine-jump-m0n0-u-1,fine-jump,0,1,1,-1.0,0.7343277260358962,1.0,0.000353395938873291,47,0.00018509334768168628,30,5,1.9073476791381836,0,The right hand
push-single,推。,uniform-all-u-0.5,uniform-all,0,1,1,-0.5,0.8291349230351314,0.5,0.00038999319076538086,47,0.00019972206791862845,30,5,1.2806649208068848,0,The right hand.
push-single,推。,fine-jump-m0n0-u-0.5,fine-jump,0,1,1,-0.5,0.8291349230351314,0.5,0.00038999319076538086,47,0.00019972206791862845,30,5,1.2806649208068848,0,The right hand.
push-single,推。,uniform-all-u+0.5,uniform-all,0,1,1,0.5,1.206076323910468,0.5,0.0004911422729492188,43,0.00026320182951167226,30,5,1.218336820602417,0,The following is the example.
push-single,推。,fine-jump-m0n0-u+0.5,fine-jump,0,1,1,0.5,1.206076323910468,0.5,0.0004911422729492188,43,0.00026320182951167226,30,5,1.218336820602417,0,The following is the example.
push-single,推。,uniform-all-u+1,uniform-all,0,1,1,1.0,1.361789790232048,1.0,0.0004855990409851074,43,0.00028440976166166365,30,5,1.9366908073425293,0,The following is the example.
push-single,推。,fine-jump-m0n0-u+1,fine-jump,0,1,1,1.0,1.361789790232048,1.0,0.0004855990409851074,43,0.00028440976166166365,30,5,1.9366908073425293,0,The following is the example.
push-single,推。,uniform-all-u+2,uniform-all,0,1,1,2.0,1.4782804393374118,2.0,0.0004704594612121582,40,0.00029979232931509614,30,5,2.3394663333892822,0,The following is the example.
push-single,推。,fine-jump-m0n0-u+2,fine-jump,0,1,1,2.0,1.4782804393374118,2.0,0.0004704594612121582,40,0.00029979232931509614,30,5,2.3394663333892822,0,The following is the example.
push-single,推。,uniform-all-u+4,uniform-all,0,1,1,4.0,1.4995921371300496,4.0,0.0004673004150390625,40,0.0003026128397323191,30,5,2.4015486240386963,0,The following is the example.
push-single,推。,fine-jump-m0n0-u+4,fine-jump,0,1,1,4.0,1.4995921371300496,4.0,0.0004673004150390625,40,0.0003026128397323191,30,5,2.4015486240386963,0,The following is the example.
