case,count,offset,protocol_depth,ablate_depth,margin_delta_vs_full,target_logit,target_probability,target_rank,target_margin,vocab_entropy
count0,0,0,5,0,-0.2910337448120117,0.39493027329444885,1.043641532305628e-06,7363,-13.772793769836426,5.905256271362305
count1-offset0,1,0,5,0,-0.23903179168701172,0.8710278272628784,1.2690372841461794e-06,6485,-13.577250480651855,5.448185920715332
count1-offset1,1,1,5,0,-0.2435894012451172,0.8683688640594482,1.2725432725346764e-06,6498,-13.574492454528809,5.480093479156494
count1-offset2,1,2,5,0,-0.25193214416503906,0.8432489633560181,1.2920201015731436e-06,6544,-13.55930233001709,5.556844711303711
count1-offset3,1,3,5,0,-0.14888477325439453,1.41506826877594,1.6579731436650036e-06,5328,-13.30991268157959,4.741756439208984
count2-offset0,2,0,5,0,-0.12607097625732422,1.5088226795196533,1.6705622556401067e-06,5163,-13.302348136901855,4.4735026359558105
count2-offset1,2,1,5,0,-0.12238693237304688,1.5706205368041992,1.6905372604014701e-06,5052,-13.290462493896484,4.388986587524414
count2-offset2,2,2,5,0,-0.1289806365966797,1.5420664548873901,1.747691499076609e-06,5111,-13.257213592529297,4.50596284866333
count2-offset3,2,3,5,0,-0.06541633605957031,1.8322930335998535,3.5177029076294275e-06,4408,-12.557699203491211,4.890817642211914
count4-offset0,4,0,5,0,-0.09586715698242188,2.238778829574585,4.90280081066885e-06,3743,-12.225699424743652,4.912896156311035
count4-offset1,4,1,5,0,0.026305198669433594,2.6440043449401855,8.997375516628381e-06,2994,-11.618568420410156,5.056412696838379
count4-offset2,4,2,5,0,-0.09586715698242188,2.238778829574585,4.9028003559214994e-06,3743,-12.225699424743652,4.912896156311035
count4-offset3,4,3,5,0,0.026305198669433594,2.6440043449401855,8.997374607133679e-06,2994,-11.618568420410156,5.056412220001221
count8,8,0,5,0,-0.24495887756347656,3.681858539581299,4.814170461031608e-05,1421,-9.941314697265625,6.071721076965332
count0,0,0,5,1,0.09280586242675781,0.5641912817955017,1.5319707244998426e-06,6629,-13.388954162597656,5.844656944274902
count1-offset0,1,0,5,1,0.0747365951538086,0.9070130586624146,1.7367700593240443e-06,5990,-13.263482093811035,5.353001594543457
count1-offset1,1,1,5,1,0.07687950134277344,0.917880654335022,1.7532751144244685e-06,5965,-13.254023551940918,5.379690170288086
count1-offset2,1,2,5,1,0.06693458557128906,0.8958761692047119,1.7772605360732996e-06,5998,-13.240435600280762,5.453047752380371
count1-offset3,1,3,5,1,0.16869735717773438,1.279212236404419,2.277726935062674e-06,5019,-12.992330551147461,4.735754489898682
count2-offset0,2,0,5,1,0.20971965789794922,1.3338642120361328,2.3371919724013424e-06,4883,-12.966557502746582,4.552423000335693
count2-offset1,2,1,5,1,0.21721267700195312,1.4047003984451294,2.3741647510178154e-06,4759,-12.950862884521484,4.4773664474487305
count2-offset2,2,2,5,1,0.19936847686767578,1.3661564588546753,2.4269700134027516e-06,4824,-12.928864479064941,4.568072319030762
count2-offset3,2,3,5,1,0.11748504638671875,1.5527856349945068,4.22368884755997e-06,4229,-12.374797821044922,4.731616497039795
count4-offset0,4,0,5,1,0.25075721740722656,1.9860684871673584,6.93394395057112e-06,3379,-11.879075050354004,4.882582664489746
count4-offset1,4,1,5,1,0.23973560333251953,2.27610445022583,1.11379904410569e-05,2767,-11.40513801574707,4.917465686798096
count4-offset2,4,2,5,1,0.25075721740722656,1.9860684871673584,6.933943041076418e-06,3379,-11.879075050354004,4.882582187652588
count4-offset3,4,3,5,1,0.23973560333251953,2.27610445022583,1.1137988622067496e-05,2767,-11.40513801574707,4.9174652099609375
count8,8,0,5,1,-0.08973503112792969,3.3203654289245605,5.622505705105141e-05,1317,-9.786090850830078,6.139594078063965
count0,0,0,5,2,-0.265045166015625,0.11600211262702942,1.0711191862355918e-06,7419,-13.746805191040039,5.7968597412109375
count1-offset0,1,0,5,2,-0.21330738067626953,0.5274335145950317,1.3021063978158054e-06,6661,-13.551526069641113,5.3263444900512695
count1-offset1,1,1,5,2,-0.22581005096435547,0.5269603729248047,1.2953701116202865e-06,6666,-13.556713104248047,5.341384410858154
count1-offset2,1,2,5,2,-0.23564529418945312,0.5059722661972046,1.3132350886735367e-06,6693,-13.543015480041504,5.418015956878662
count1-offset3,1,3,5,2,-0.11395835876464844,0.9221566915512085,1.7169035118058673e-06,5588,-13.274986267089844,4.697608947753906
count2-offset0,2,0,5,2,-0.020833969116210938,1.0041279792785645,1.855950131357531e-06,5334,-13.197111129760742,4.4932355880737305
count2-offset1,2,1,5,2,-0.009660720825195312,1.0759392976760864,1.8922610252047889e-06,5168,-13.177736282348633,4.38523006439209
count2-offset2,2,2,5,2,-0.028329849243164062,1.0400404930114746,1.932751956701395e-06,5247,-13.156562805175781,4.508244037628174
count2-offset3,2,3,5,2,0.05107879638671875,1.343540906906128,3.952320184907876e-06,4411,-12.441204071044922,4.823227882385254
count4-offset0,4,0,5,2,0.19941234588623047,1.795412540435791,6.5869085119629744e-06,3478,-11.930419921875,4.796444892883301
count4-offset1,4,1,5,2,0.3576974868774414,2.214977741241455,1.25324513646774e-05,2632,-11.287176132202148,4.854868412017822
count4-offset2,4,2,5,2,0.19941234588623047,1.795412540435791,6.5869085119629744e-06,3478,-11.930419921875,4.796445369720459
count4-offset3,4,3,5,2,0.3576974868774414,2.214977741241455,1.2532452274172101e-05,2632,-11.287176132202148,4.854867935180664
count8,8,0,5,2,0.22919464111328125,3.4661459922790527,7.734467362752184e-05,1100,-9.467161178588867,6.208889961242676
count0,0,0,5,3,0.3645458221435547,0.6238980889320374,2.010321622947231e-06,6233,-13.11721420288086,6.01430606842041
count1-offset0,1,0,5,3,0.3588571548461914,0.983768105506897,2.3074585442373063e-06,5603,-12.979361534118652,5.5756425857543945
count1-offset1,1,1,5,3,0.3412179946899414,0.9816101789474487,2.2837609776615864e-06,5625,-12.98968505859375,5.586906433105469
count1-offset2,1,2,5,3,0.3380870819091797,0.9668515920639038,2.3308325580728706e-06,5643,-12.969283103942871,5.659029483795166
count1-offset3,1,3,5,3,0.3712730407714844,1.3159528970718384,2.7891953777725575e-06,4815,-12.789754867553711,4.934189796447754
count2-offset0,2,0,5,3,0.3937549591064453,1.3487112522125244,2.8094414119550493e-06,4693,-12.782522201538086,4.70282506942749
count2-offset1,2,1,5,3,0.3598604202270508,1.3862144947052002,2.7381779545976315e-06,4628,-12.808215141296387,4.576101303100586
count2-offset2,2,2,5,3,0.3590278625488281,1.363640546798706,2.8471047244238434e-06,4677,-12.769205093383789,4.702880859375
count2-offset3,2,3,5,3,0.3919239044189453,1.6572279930114746,5.557484655582812e-06,3912,-12.100358963012695,5.003246307373047
count4-offset0,4,0,5,3,0.2515277862548828,1.8953732252120972,6.93928450345993e-06,3361,-11.878304481506348,4.8567609786987305
count4-offset1,4,1,5,3,0.18287086486816406,2.1175973415374756,1.0522304364712909e-05,2803,-11.462002754211426,4.880010604858398
count4-offset2,4,2,5,3,0.2515277862548828,1.8953732252120972,6.939285412954632e-06,3361,-11.878304481506348,4.856761932373047
count4-offset3,4,3,5,3,0.18287086486816406,2.1175973415374756,1.0522302545723505e-05,2803,-11.462002754211426,4.880009651184082
count8,8,0,5,3,-0.01817035675048828,3.283625602722168,6.039605432306416e-05,1193,-9.714526176452637,6.0767292976379395
count0,0,0,5,4,0.3219442367553711,0.38660958409309387,1.9264762158854865e-06,6468,-13.159815788269043,6.075198173522949
count1-offset0,1,0,5,4,0.3345317840576172,0.7863590717315674,2.252005742775509e-06,5758,-13.003686904907227,5.6352338790893555
count1-offset1,1,1,5,4,0.33242130279541016,0.7935184240341187,2.263757778564468e-06,5727,-12.998481750488281,5.65677547454834
count1-offset2,1,2,5,4,0.3241081237792969,0.7767345905303955,2.2984770566836232e-06,5764,-12.983262062072754,5.728357315063477
count1-offset3,1,3,5,4,0.38428592681884766,1.1468474864959717,2.8257279609533725e-06,4807,-12.776741981506348,4.914486885070801
count2-offset0,2,0,5,4,0.4230213165283203,1.2062022686004639,2.8928784558956977e-06,4632,-12.753255844116211,4.628780841827393
count2-offset1,2,1,5,4,0.42215919494628906,1.2603645324707031,2.9141885988792637e-06,4467,-12.745916366577148,4.50474739074707
count2-offset2,2,2,5,4,0.4078655242919922,1.2301158905029297,2.989600261571468e-06,4546,-12.720367431640625,4.638484001159668
count2-offset3,2,3,5,4,0.4624900817871094,1.5656187534332275,5.963822331978008e-06,3810,-12.029792785644531,4.982821464538574
count4-offset0,4,0,5,4,0.37790966033935547,1.8999135494232178,7.874108632677235e-06,3022,-11.751922607421875,4.630465507507324
count4-offset1,4,1,5,4,0.3654642105102539,2.224208354949951,1.2630180208361708e-05,2464,-11.279409408569336,4.717714786529541
count4-offset2,4,2,5,4,0.37790966033935547,1.8999135494232178,7.874108632677235e-06,3022,-11.751922607421875,4.630465507507324
count4-offset3,4,3,5,4,0.3654642105102539,2.224208354949951,1.263018111785641e-05,2464,-11.279409408569336,4.717715263366699
count8,8,0,5,4,0.15298748016357422,3.3308675289154053,7.166986324591562e-05,1108,-9.543368339538574,6.097897529602051
count0,0,0,5,5,0.2868385314941406,0.23629873991012573,1.8600200064611272e-06,6114,-13.194921493530273,5.828619956970215
count1-offset0,1,0,5,5,0.23101234436035156,0.563940703868866,2.030541736530722e-06,5476,-13.107206344604492,5.269801139831543
count1-offset1,1,1,5,5,0.23725128173828125,0.5731224417686462,2.058251311609638e-06,5445,-13.09365177154541,5.304271697998047
count1-offset2,1,2,5,5,0.23972511291503906,0.5618104338645935,2.1124817521922523e-06,5466,-13.067645072937012,5.394908428192139
count1-offset3,1,3,5,5,0.1858053207397461,0.8954369425773621,2.3170289296103874e-06,4719,-12.97522258758545,4.4474029541015625
count2-offset0,2,0,5,5,0.17123889923095703,0.9265077114105225,2.2489643924927805e-06,4620,-13.005038261413574,4.164581298828125
count2-offset1,2,1,5,5,0.16911888122558594,0.9932223558425903,2.262682983200648e-06,4490,-12.998956680297852,4.045862197875977
count2-offset2,2,2,5,5,0.17232608795166016,0.9665381908416748,2.3622196749784052e-06,4546,-12.955906867980957,4.185285568237305
count2-offset3,2,3,5,5,0.14142227172851562,1.233599305152893,4.326010639488231e-06,3876,-12.350860595703125,4.505022048950195
count4-offset0,4,0,5,5,0.16110610961914062,1.6136057376861572,6.339360879792366e-06,3104,-11.96872615814209,4.395106792449951
