case,count,offset,protocol_depth,channel,merge,group,gradient
count0,0,0,5,base,0,0,0.006668319925665855
count0,0,0,5,base,0,1,0.004099663347005844
count0,0,0,5,base,0,2,-0.0011057555675506592
count0,0,0,5,base,0,3,-0.0062811896204948425
count0,0,0,5,base,0,4,0.03714214637875557
count0,0,0,5,base,0,5,0.13337422907352448
count0,0,0,5,base,0,6,0.027877969667315483
count0,0,0,5,base,0,7,-0.2076679766178131
count0,0,0,5,base,1,0,0.0
count0,0,0,5,base,1,1,0.0
count0,0,0,5,base,1,2,0.0
count0,0,0,5,base,1,3,0.0
count0,0,0,5,base,1,4,0.0
count0,0,0,5,base,1,5,0.0
count0,0,0,5,base,1,6,0.0
count0,0,0,5,base,1,7,0.0
count0,0,0,5,base,2,0,0.0
count0,0,0,5,base,2,1,0.0
count0,0,0,5,base,2,2,0.0
count0,0,0,5,base,2,3,0.0
count0,0,0,5,base,2,4,0.0
count0,0,0,5,base,2,5,0.0
count0,0,0,5,base,2,6,0.0
count0,0,0,5,base,2,7,0.0
count0,0,0,5,base,3,0,0.0
count0,0,0,5,base,3,1,0.0
count0,0,0,5,base,3,2,0.0
count0,0,0,5,base,3,3,0.0
count0,0,0,5,base,3,4,0.0
count0,0,0,5,base,3,5,0.0
count0,0,0,5,base,3,6,0.0
count0,0,0,5,base,3,7,0.0
count0,0,0,5,base,4,0,0.0
count0,0,0,5,base,4,1,0.0
count0,0,0,5,base,4,2,0.0
count0,0,0,5,base,4,3,0.0
count0,0,0,5,base,4,4,0.0
count0,0,0,5,base,4,5,0.0
count0,0,0,5,base,4,6,0.0
count0,0,0,5,base,4,7,0.0
count1-offset0,1,0,5,base,0,0,-0.05213216319680214
count1-offset0,1,0,5,base,0,1,-0.019828714430332184
count1-offset0,1,0,5,base,0,2,-0.02151765301823616
count1-offset0,1,0,5,base,0,3,-0.0209864042699337
count1-offset0,1,0,5,base,0,4,0.1305416226387024
count1-offset0,1,0,5,base,0,5,0.11550382524728775
count1-offset0,1,0,5,base,0,6,-0.012077316641807556
count1-offset0,1,0,5,base,0,7,-0.16544431447982788
count1-offset0,1,0,5,base,1,0,0.0
count1-offset0,1,0,5,base,1,1,0.0
