case,count,offset,protocol_depth,mode,location,tree_nodes,target_logit,target_probability,target_rank,target_margin,vocab_entropy,base_route_entropy,base_local_norm,base_route_max,extra_route_entropy,extra_local_norm,extra_route_max
count0,0,0,5,native,cutoff-0,1,4.402843952178955,1.1823434533653199e-06,8284,-13.64801025390625,5.406948089599609,-0.0,28.156593322753906,1.0,-0.0,0.9807324409484863,1.0
count1-offset0,1,0,5,native,cutoff-0,1,4.0576372146606445,1.1162546798004769e-06,7982,-13.705531120300293,5.153966903686523,-0.0,28.038787841796875,1.0,-0.0,1.0708436965942383,1.0
count1-offset1,1,1,5,native,cutoff-0,1,4.0961127281188965,1.1333255542922416e-06,7928,-13.690353393554688,5.2379302978515625,-0.0,28.0717716217041,1.0,-0.0,0.9817477464675903,1.0
count1-offset2,1,2,5,native,cutoff-0,1,4.146928787231445,1.123515630752081e-06,8006,-13.699047088623047,5.226795196533203,-0.0,28.083938598632812,1.0,-0.0,0.9776040315628052,1.0
count1-offset3,1,3,5,native,cutoff-0,1,3.805497169494629,1.5711607375124004e-06,7013,-13.363694190979004,5.388111114501953,-0.0,27.912675857543945,1.0,-0.0,0.9898549318313599,1.0
count2-offset0,2,0,5,native,cutoff-0,1,3.408998489379883,1.4667633649878553e-06,7656,-13.432451248168945,5.5521650314331055,-0.0,27.697797775268555,1.0,-0.0,1.069097638130188,1.0
count2-offset1,2,1,5,native,cutoff-0,1,3.4913907051086426,1.5747937140986323e-06,7295,-13.361385345458984,5.517465114593506,-0.0,27.702686309814453,1.0,-0.0,0.9794945120811462,1.0
count2-offset2,2,2,5,native,cutoff-0,1,3.498408794403076,1.5466961258425727e-06,7404,-13.379386901855469,5.540001392364502,-0.0,27.712087631225586,1.0,-0.0,0.977683424949646,1.0
count2-offset3,2,3,5,native,cutoff-0,1,3.86928129196167,3.397098225832451e-06,6349,-12.592586517333984,5.869777679443359,-0.0,26.353824615478516,1.0,-0.0,1.0249313116073608,1.0
count4-offset0,4,0,5,native,cutoff-0,1,3.2060179710388184,2.0074385247426108e-06,7578,-13.118648529052734,5.588466167449951,-0.0,26.587772369384766,1.0,-0.0,1.069832682609558,1.0
count4-offset1,4,1,5,native,cutoff-0,1,3.327869415283203,2.7101650630356744e-06,6826,-12.818498611450195,5.203388214111328,-0.0,25.755220413208008,1.0,-0.0,1.0264705419540405,1.0
