timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/10 22:35:12.252, 270.00 W, 40.92 W, 37, 1 MiB, 0 %
2026/09/10 22:35:17.261, 270.00 W, 166.73 W, 53, 960 MiB, 25 %
2026/09/10 22:35:22.262, 270.00 W, 163.83 W, 56, 1084 MiB, 34 %
2026/09/10 22:35:27.263, 270.00 W, 160.54 W, 56, 1108 MiB, 17 %
2026/09/10 22:35:32.264, 270.00 W, 150.37 W, 55, 1108 MiB, 0 %
2026/09/10 22:35:37.265, 270.00 W, 163.80 W, 58, 1116 MiB, 29 %
2026/09/10 22:35:42.266, 270.00 W, 166.15 W, 58, 1116 MiB, 25 %
2026/09/10 22:35:47.267, 270.00 W, 166.14 W, 59, 1116 MiB, 29 %
2026/09/10 22:35:52.267, 270.00 W, 165.93 W, 60, 1116 MiB, 26 %
2026/09/10 22:35:57.268, 270.00 W, 166.77 W, 60, 1116 MiB, 18 %
2026/09/10 22:36:02.269, 270.00 W, 167.52 W, 60, 1116 MiB, 27 %
2026/09/10 22:36:07.270, 270.00 W, 168.39 W, 61, 1116 MiB, 10 %
2026/09/10 22:36:12.271, 270.00 W, 169.70 W, 61, 1116 MiB, 10 %
2026/09/10 22:36:17.272, 270.00 W, 168.72 W, 62, 1116 MiB, 10 %
2026/09/10 22:36:22.273, 270.00 W, 169.34 W, 62, 1116 MiB, 22 %
2026/09/10 22:36:27.274, 270.00 W, 169.87 W, 62, 1116 MiB, 30 %
2026/09/10 22:36:32.275, 270.00 W, 170.40 W, 62, 1116 MiB, 29 %
2026/09/10 22:36:37.275, 270.00 W, 169.09 W, 62, 1116 MiB, 34 %
2026/09/10 22:36:42.276, 270.00 W, 169.95 W, 63, 1116 MiB, 31 %
2026/09/10 22:36:47.277, 270.00 W, 168.21 W, 63, 1116 MiB, 39 %
2026/09/10 22:36:52.278, 270.00 W, 166.95 W, 63, 1116 MiB, 37 %
2026/09/10 22:36:57.279, 270.00 W, 166.79 W, 63, 1116 MiB, 20 %
2026/09/10 22:37:02.280, 270.00 W, 166.80 W, 63, 1116 MiB, 18 %
2026/09/10 22:37:07.281, 270.00 W, 168.14 W, 63, 1116 MiB, 39 %
2026/09/10 22:37:12.282, 270.00 W, 168.62 W, 63, 1116 MiB, 39 %
2026/09/10 22:37:17.283, 270.00 W, 169.54 W, 63, 1116 MiB, 35 %
2026/09/10 22:37:22.284, 270.00 W, 170.76 W, 64, 1116 MiB, 10 %
2026/09/10 22:37:27.284, 270.00 W, 171.68 W, 64, 1116 MiB, 26 %
2026/09/10 22:37:32.285, 270.00 W, 172.17 W, 64, 1116 MiB, 30 %
2026/09/10 22:37:37.286, 270.00 W, 172.01 W, 64, 1116 MiB, 30 %
2026/09/10 22:37:42.287, 270.00 W, 169.94 W, 64, 1116 MiB, 38 %
2026/09/10 22:37:47.288, 270.00 W, 175.54 W, 65, 1118 MiB, 31 %
2026/09/10 22:37:52.289, 270.00 W, 173.44 W, 65, 1118 MiB, 33 %
2026/09/10 22:37:57.289, 270.00 W, 173.18 W, 65, 1118 MiB, 34 %
