timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/11 09:07:34.476, 270.00 W, 40.77 W, 37, 1 MiB, 0 %
2026/09/11 09:07:44.486, 270.00 W, 157.99 W, 55, 1380 MiB, 29 %
2026/09/11 09:07:54.487, 270.00 W, 161.52 W, 57, 1380 MiB, 19 %
2026/09/11 09:08:04.488, 270.00 W, 159.38 W, 58, 1380 MiB, 20 %
2026/09/11 09:08:14.489, 270.00 W, 162.11 W, 59, 1380 MiB, 28 %
2026/09/11 09:08:24.490, 270.00 W, 166.02 W, 60, 1438 MiB, 31 %
2026/09/11 09:08:34.492, 270.00 W, 164.38 W, 61, 1502 MiB, 18 %
2026/09/11 09:08:44.493, 270.00 W, 168.75 W, 62, 1502 MiB, 18 %
2026/09/11 09:08:54.494, 270.00 W, 169.29 W, 62, 1502 MiB, 26 %
2026/09/11 09:09:04.495, 270.00 W, 167.45 W, 63, 1502 MiB, 24 %
2026/09/11 09:09:14.496, 270.00 W, 171.14 W, 63, 1502 MiB, 22 %
2026/09/11 09:09:24.498, 270.00 W, 171.32 W, 64, 1502 MiB, 28 %
2026/09/11 09:09:34.499, 270.00 W, 171.35 W, 64, 1502 MiB, 32 %
2026/09/11 09:09:44.500, 270.00 W, 170.21 W, 64, 1502 MiB, 26 %
2026/09/11 09:09:54.501, 270.00 W, 171.70 W, 64, 1502 MiB, 7 %
2026/09/11 09:10:04.502, 270.00 W, 171.85 W, 64, 1502 MiB, 29 %
2026/09/11 09:10:14.504, 270.00 W, 170.04 W, 65, 1502 MiB, 24 %
2026/09/11 09:10:24.505, 270.00 W, 173.30 W, 65, 1502 MiB, 32 %
2026/09/11 09:10:34.506, 270.00 W, 171.09 W, 65, 1502 MiB, 28 %
2026/09/11 09:10:44.507, 270.00 W, 174.03 W, 65, 1502 MiB, 24 %
2026/09/11 09:10:54.509, 270.00 W, 174.65 W, 66, 1502 MiB, 33 %
2026/09/11 09:11:04.510, 270.00 W, 173.10 W, 66, 1502 MiB, 26 %
2026/09/11 09:11:14.511, 270.00 W, 172.98 W, 66, 1502 MiB, 31 %
2026/09/11 09:11:24.512, 270.00 W, 172.25 W, 66, 1502 MiB, 14 %
2026/09/11 09:11:34.514, 270.00 W, 175.12 W, 66, 1502 MiB, 24 %
2026/09/11 09:11:44.515, 270.00 W, 175.22 W, 66, 1502 MiB, 13 %
2026/09/11 09:11:54.516, 270.00 W, 176.30 W, 66, 1502 MiB, 27 %
2026/09/11 09:12:04.518, 270.00 W, 173.92 W, 66, 1502 MiB, 29 %
2026/09/11 09:12:14.519, 270.00 W, 174.19 W, 67, 1502 MiB, 30 %
2026/09/11 09:12:24.520, 270.00 W, 176.03 W, 66, 1502 MiB, 20 %
2026/09/11 09:12:34.521, 270.00 W, 175.36 W, 66, 1502 MiB, 17 %
2026/09/11 09:12:44.523, 270.00 W, 173.10 W, 67, 1502 MiB, 32 %
2026/09/11 09:12:54.524, 270.00 W, 171.42 W, 66, 1502 MiB, 24 %
2026/09/11 09:13:04.525, 270.00 W, 173.54 W, 67, 1502 MiB, 30 %
2026/09/11 09:13:14.527, 270.00 W, 173.92 W, 67, 1502 MiB, 16 %
2026/09/11 09:13:24.528, 270.00 W, 173.38 W, 67, 1502 MiB, 12 %
2026/09/11 09:13:34.530, 270.00 W, 176.12 W, 67, 1502 MiB, 16 %
2026/09/11 09:13:44.531, 270.00 W, 175.86 W, 67, 1502 MiB, 28 %
2026/09/11 09:13:54.532, 270.00 W, 175.22 W, 67, 1502 MiB, 18 %
2026/09/11 09:14:04.533, 270.00 W, 173.85 W, 67, 1502 MiB, 30 %
2026/09/11 09:14:14.534, 270.00 W, 170.52 W, 67, 1502 MiB, 29 %
2026/09/11 09:14:24.536, 270.00 W, 176.54 W, 67, 1502 MiB, 30 %
2026/09/11 09:14:34.537, 270.00 W, 176.08 W, 67, 1502 MiB, 37 %
2026/09/11 09:14:44.538, 270.00 W, 168.55 W, 66, 1502 MiB, 27 %
2026/09/11 09:14:54.539, 270.00 W, 170.12 W, 67, 1502 MiB, 27 %
