timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/13 17:18:53.768, 270.00 W, 41.80 W, 45, 1 MiB, 0 %
2026/09/13 17:18:58.777, 270.00 W, 143.25 W, 57, 818 MiB, 0 %
2026/09/13 17:19:03.778, 270.00 W, 146.66 W, 59, 818 MiB, 0 %
2026/09/13 17:19:08.779, 270.00 W, 147.82 W, 60, 818 MiB, 0 %
2026/09/13 17:19:13.779, 270.00 W, 148.27 W, 61, 818 MiB, 0 %
2026/09/13 17:19:18.780, 270.00 W, 42.59 W, 49, 818 MiB, 0 %
2026/09/13 17:19:23.781, 270.00 W, 42.17 W, 48, 818 MiB, 0 %
2026/09/13 17:19:28.782, 270.00 W, 41.87 W, 47, 818 MiB, 0 %
2026/09/13 17:19:33.783, 270.00 W, 41.93 W, 47, 818 MiB, 0 %
2026/09/13 17:19:38.784, 270.00 W, 41.74 W, 47, 818 MiB, 0 %
2026/09/13 17:19:43.785, 270.00 W, 41.92 W, 46, 818 MiB, 0 %
2026/09/13 17:19:48.786, 270.00 W, 41.76 W, 46, 818 MiB, 0 %
2026/09/13 17:19:53.787, 270.00 W, 41.58 W, 46, 818 MiB, 0 %
2026/09/13 17:19:58.788, 270.00 W, 41.83 W, 46, 818 MiB, 0 %
2026/09/13 17:20:03.789, 270.00 W, 41.74 W, 46, 818 MiB, 0 %
2026/09/13 17:20:08.790, 270.00 W, 173.62 W, 62, 1686 MiB, 31 %
2026/09/13 17:20:13.791, 270.00 W, 172.64 W, 64, 1688 MiB, 6 %
2026/09/13 17:20:18.792, 270.00 W, 169.06 W, 64, 1688 MiB, 37 %
2026/09/13 17:20:23.793, 270.00 W, 155.76 W, 63, 1688 MiB, 8 %
2026/09/13 17:20:28.793, 270.00 W, 156.03 W, 63, 1688 MiB, 12 %
2026/09/13 17:20:33.794, 270.00 W, 170.13 W, 65, 1696 MiB, 13 %
2026/09/13 17:20:38.795, 270.00 W, 172.36 W, 65, 1696 MiB, 4 %
2026/09/13 17:20:43.795, 270.00 W, 176.20 W, 66, 1696 MiB, 24 %
2026/09/13 17:20:48.796, 270.00 W, 181.75 W, 67, 1696 MiB, 34 %
2026/09/13 17:20:53.797, 270.00 W, 179.58 W, 67, 1696 MiB, 33 %
2026/09/13 17:20:58.798, 270.00 W, 179.74 W, 68, 1696 MiB, 34 %
2026/09/13 17:21:03.798, 270.00 W, 170.18 W, 67, 1696 MiB, 19 %
2026/09/13 17:21:08.799, 270.00 W, 173.27 W, 67, 1696 MiB, 33 %
2026/09/13 17:21:13.800, 270.00 W, 224.51 W, 73, 2562 MiB, 3 %
2026/09/13 17:21:18.801, 270.00 W, 219.82 W, 72, 2562 MiB, 2 %
2026/09/13 17:21:23.801, 270.00 W, 208.66 W, 70, 2562 MiB, 30 %
2026/09/13 17:21:28.802, 270.00 W, 221.43 W, 70, 2562 MiB, 16 %
2026/09/13 17:21:33.803, 270.00 W, 223.28 W, 72, 2562 MiB, 18 %
2026/09/13 17:21:38.803, 270.00 W, 227.88 W, 72, 2562 MiB, 42 %
2026/09/13 17:21:43.804, 270.00 W, 231.20 W, 72, 2562 MiB, 55 %
2026/09/13 17:21:48.805, 270.00 W, 235.04 W, 72, 2562 MiB, 44 %
2026/09/13 17:21:53.806, 270.00 W, 230.67 W, 72, 2562 MiB, 24 %
2026/09/13 17:21:58.806, 270.00 W, 227.46 W, 72, 2562 MiB, 35 %
2026/09/13 17:22:03.807, 270.00 W, 222.58 W, 72, 2562 MiB, 44 %
2026/09/13 17:22:08.808, 270.00 W, 225.09 W, 72, 2562 MiB, 49 %
2026/09/13 17:22:13.809, 270.00 W, 225.99 W, 72, 2562 MiB, 26 %
2026/09/13 17:22:18.809, 270.00 W, 225.06 W, 72, 2562 MiB, 49 %
2026/09/13 17:22:23.810, 270.00 W, 191.33 W, 69, 2562 MiB, 30 %
2026/09/13 17:22:28.811, 270.00 W, 187.94 W, 68, 2562 MiB, 34 %
2026/09/13 17:22:33.811, 270.00 W, 187.04 W, 68, 2562 MiB, 28 %
2026/09/13 17:22:38.812, 270.00 W, 177.12 W, 67, 2562 MiB, 22 %
2026/09/13 17:22:43.813, 270.00 W, 177.63 W, 67, 2562 MiB, 8 %
2026/09/13 17:22:48.814, 270.00 W, 185.93 W, 69, 2562 MiB, 34 %
2026/09/13 17:22:53.814, 270.00 W, 179.17 W, 68, 2562 MiB, 37 %
2026/09/13 17:22:58.815, 270.00 W, 164.35 W, 67, 2562 MiB, 14 %
2026/09/13 17:23:03.816, 270.00 W, 163.82 W, 67, 2562 MiB, 10 %
2026/09/13 17:23:08.817, 270.00 W, 158.86 W, 66, 2562 MiB, 0 %
