stage,depth,level,concept,examples,auroc,average_precision,balanced_accuracy
head_warmup,5,root,push,80,0.655625,0.5885653604658254,0.55
head_warmup,5,root,like,64,0.5830078125,0.5975724566879322,0.53125
head_warmup,5,root,want,80,0.60125,0.6050758090406021,0.5375
head_warmup,5,root,eat,48,0.5347222222222222,0.5472167794559284,0.5208333333333334
head_warmup,5,root,carry,64,0.55859375,0.5690642457724373,0.53125
head_warmup,5,leaf,push,80,0.670625,0.6215880487980068,0.5375
head_warmup,5,leaf,like,64,0.6015625,0.6029094661566352,0.546875
head_warmup,5,leaf,want,80,0.626875,0.6179420016801924,0.525
head_warmup,5,leaf,eat,48,0.5208333333333334,0.5221159365624303,0.5208333333333334
head_warmup,5,leaf,carry,64,0.5615234375,0.5814115821857962,0.53125
head_warmup,6,root,push,80,0.638125,0.5692396865952003,0.5625
head_warmup,6,root,like,64,0.5947265625,0.6140978855686908,0.53125
head_warmup,6,root,want,80,0.643125,0.6467592063183908,0.6
head_warmup,6,root,eat,48,0.5607638888888888,0.5692121018930253,0.5625
head_warmup,6,root,carry,64,0.560546875,0.559943254316192,0.484375
head_warmup,6,leaf,push,80,0.65,0.6127077082582411,0.55
head_warmup,6,leaf,like,64,0.615234375,0.6076860263238274,0.515625
head_warmup,6,leaf,want,80,0.655625,0.650159877447072,0.6
head_warmup,6,leaf,eat,48,0.5034722222222222,0.5353348613417399,0.5625
head_warmup,6,leaf,carry,64,0.5439453125,0.5601275795246049,0.484375
head_warmup,7,root,push,80,0.623125,0.5581620870332727,0.5625
head_warmup,7,root,like,64,0.6162109375,0.6187144346705189,0.53125
head_warmup,7,root,want,80,0.628125,0.6449824924074378,0.6
head_warmup,7,root,eat,48,0.5538194444444444,0.5810166621354776,0.5416666666666666
head_warmup,7,root,carry,64,0.5517578125,0.5498826149042803,0.5
head_warmup,7,leaf,push,80,0.643125,0.6123588772343073,0.55
head_warmup,7,leaf,like,64,0.6259765625,0.6157120257916187,0.578125
head_warmup,7,leaf,want,80,0.626875,0.6351642153006308,0.5875
head_warmup,7,leaf,eat,48,0.5138888888888888,0.5539025961986734,0.5208333333333334
head_warmup,7,leaf,carry,64,0.533203125,0.5591274955250553,0.515625
joint_final,5,root,push,80,0.655625,0.5991932657397603,0.625
joint_final,5,root,like,64,0.6318359375,0.6181218411118472,0.59375
joint_final,5,root,want,80,0.6775,0.6601566772423733,0.6625
joint_final,5,root,eat,48,0.5607638888888888,0.5330878188641154,0.5625
joint_final,5,root,carry,64,0.583984375,0.5818203500774926,0.546875
joint_final,5,leaf,push,80,0.64875,0.6138860029586766,0.6125
joint_final,5,leaf,like,64,0.66015625,0.6486193886541533,0.59375
joint_final,5,leaf,want,80,0.7,0.6642198159479555,0.6499999999999999
joint_final,5,leaf,eat,48,0.546875,0.5167686258285232,0.5833333333333334
joint_final,5,leaf,carry,64,0.5751953125,0.6149928512611942,0.53125
joint_final,6,root,push,80,0.628125,0.5734270906941621,0.5875
joint_final,6,root,like,64,0.6318359375,0.6288817638750179,0.59375
joint_final,6,root,want,80,0.68875,0.6920059720409952,0.6499999999999999
joint_final,6,root,eat,48,0.5920138888888888,0.5559870890243488,0.5416666666666667
joint_final,6,root,carry,64,0.560546875,0.5809234948191828,0.59375
joint_final,6,leaf,push,80,0.62625,0.6104895292775592,0.6125
joint_final,6,leaf,like,64,0.6611328125,0.6609673997381038,0.578125
joint_final,6,leaf,want,80,0.70375,0.6731324268296809,0.675
joint_final,6,leaf,eat,48,0.5434027777777778,0.5205149900247225,0.5625
joint_final,6,leaf,carry,64,0.5556640625,0.5933600235274937,0.546875
joint_final,7,root,push,80,0.61875,0.5619378314895564,0.5874999999999999
joint_final,7,root,like,64,0.6552734375,0.6178710117129053,0.65625
joint_final,7,root,want,80,0.675625,0.6783103767970349,0.65
joint_final,7,root,eat,48,0.5885416666666666,0.56141660111456,0.5625
joint_final,7,root,carry,64,0.5458984375,0.5634027269679382,0.515625
joint_final,7,leaf,push,80,0.623125,0.6127171461973209,0.6
joint_final,7,leaf,like,64,0.67578125,0.6599665183991084,0.640625
joint_final,7,leaf,want,80,0.67125,0.6491416328249919,0.6499999999999999
joint_final,7,leaf,eat,48,0.5434027777777778,0.5500895629673886,0.5833333333333334
joint_final,7,leaf,carry,64,0.5537109375,0.584936251256879,0.53125
