timestamp, power.limit [W], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/13 15:49:26.872, 270.00 W, 42.31 W, 49, 1 MiB, 0 %
2026/09/13 15:49:31.882, 270.00 W, 148.46 W, 61, 818 MiB, 0 %
2026/09/13 15:49:36.882, 270.00 W, 150.14 W, 63, 818 MiB, 0 %
2026/09/13 15:49:41.883, 270.00 W, 150.84 W, 63, 818 MiB, 0 %
2026/09/13 15:49:46.884, 270.00 W, 151.25 W, 64, 818 MiB, 0 %
2026/09/13 15:49:51.884, 270.00 W, 43.71 W, 52, 818 MiB, 0 %
2026/09/13 15:49:56.885, 270.00 W, 43.21 W, 51, 818 MiB, 0 %
2026/09/13 15:50:01.886, 270.00 W, 42.76 W, 50, 818 MiB, 0 %
2026/09/13 15:50:06.887, 270.00 W, 42.73 W, 49, 818 MiB, 0 %
2026/09/13 15:50:11.888, 270.00 W, 42.39 W, 49, 818 MiB, 0 %
2026/09/13 15:50:16.890, 270.00 W, 42.28 W, 49, 818 MiB, 0 %
2026/09/13 15:50:21.891, 270.00 W, 42.18 W, 49, 818 MiB, 0 %
2026/09/13 15:50:26.892, 270.00 W, 42.19 W, 49, 818 MiB, 0 %
2026/09/13 15:50:31.893, 270.00 W, 41.94 W, 48, 818 MiB, 0 %
2026/09/13 15:50:36.894, 270.00 W, 41.75 W, 48, 818 MiB, 0 %
