2026/09/08 10:01:55.709, NVIDIA GeForce RTX 3090, P8, 270.00 W, 40.87 W, 40, 1 MiB, 24576 MiB, 0 %
2026/09/08 10:02:00.717, NVIDIA GeForce RTX 3090, P2, 270.00 W, 157.65 W, 54, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:02:05.718, NVIDIA GeForce RTX 3090, P2, 270.00 W, 161.29 W, 57, 870 MiB, 24576 MiB, 29 %
2026/09/08 10:02:10.719, NVIDIA GeForce RTX 3090, P2, 270.00 W, 162.19 W, 58, 870 MiB, 24576 MiB, 28 %
2026/09/08 10:02:15.720, NVIDIA GeForce RTX 3090, P2, 270.00 W, 163.20 W, 59, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:02:20.721, NVIDIA GeForce RTX 3090, P2, 270.00 W, 163.75 W, 60, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:02:25.721, NVIDIA GeForce RTX 3090, P2, 270.00 W, 164.44 W, 61, 870 MiB, 24576 MiB, 29 %
2026/09/08 10:02:30.722, NVIDIA GeForce RTX 3090, P2, 270.00 W, 164.96 W, 61, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:02:35.723, NVIDIA GeForce RTX 3090, P2, 270.00 W, 165.19 W, 62, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:02:40.724, NVIDIA GeForce RTX 3090, P2, 270.00 W, 165.83 W, 62, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:02:45.724, NVIDIA GeForce RTX 3090, P2, 270.00 W, 166.22 W, 62, 870 MiB, 24576 MiB, 29 %
2026/09/08 10:02:50.725, NVIDIA GeForce RTX 3090, P2, 270.00 W, 166.83 W, 63, 870 MiB, 24576 MiB, 28 %
2026/09/08 10:02:55.726, NVIDIA GeForce RTX 3090, P2, 270.00 W, 166.68 W, 63, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:00.727, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.09 W, 63, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:05.727, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.32 W, 63, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:10.728, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.63 W, 64, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:15.729, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.77 W, 64, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:20.730, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.21 W, 64, 870 MiB, 24576 MiB, 27 %
2026/09/08 10:03:25.731, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.73 W, 64, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:30.731, NVIDIA GeForce RTX 3090, P2, 270.00 W, 167.96 W, 64, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:35.732, NVIDIA GeForce RTX 3090, P2, 270.00 W, 168.57 W, 64, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:40.733, NVIDIA GeForce RTX 3090, P2, 270.00 W, 168.71 W, 65, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:45.734, NVIDIA GeForce RTX 3090, P2, 270.00 W, 168.73 W, 65, 870 MiB, 24576 MiB, 30 %
2026/09/08 10:03:50.734, NVIDIA GeForce RTX 3090, P2, 270.00 W, 169.03 W, 65, 870 MiB, 24576 MiB, 30 %
