intervention,concept,surface,piece_index,token_id,piece,decode_step,probability,rank
baseline,push,push,0,10766,▁push,0,1.8440816518250358e-07,18519
baseline,push,push,0,10766,▁push,1,1.9093362425337546e-05,4940
baseline,push,push,0,10766,▁push,2,6.545137694047298e-06,5839
baseline,push,push,0,10766,▁push,3,7.109919806680409e-06,6832
baseline,push,push,0,10766,▁push,4,2.6524425265961327e-05,1573
baseline,push,push,0,10766,▁push,5,7.318296411540359e-05,1715
baseline,push,push,0,10766,▁push,6,5.031420187151525e-06,4042
baseline,push,push,0,10766,▁push,7,1.1181869922438636e-05,4939
baseline,push,push,0,10766,▁push,8,3.131909397779964e-05,1688
baseline,push,push,0,10766,▁push,9,5.534390584216453e-05,882
baseline,push,push,0,10766,▁push,10,1.741748747008387e-05,1839
baseline,push,push,0,10766,▁push,11,8.177808922482654e-05,976
baseline,push,push,0,10766,▁push,12,0.00010853150160983205,1285
baseline,push,push,0,10766,▁push,13,2.9390079362201504e-05,2151
baseline,push,push,0,10766,▁push,14,2.9536150236708636e-07,2083
baseline,push,push,0,10766,▁push,15,0.00011387030099285766,943
baseline,push,push,0,10766,▁push,16,5.367435278458288e-06,2650
baseline,push,push,0,10766,▁push,17,5.297138159221504e-06,3761
baseline,push,push,0,10766,▁push,18,6.0639515140792355e-05,1345
baseline,push,push,0,10766,▁push,19,7.850358997529838e-06,3176
baseline,push,push,0,10766,▁push,20,4.919348612020258e-06,5719
baseline,push,push,0,10766,▁push,21,1.247671571036335e-05,4148
baseline,push,push,0,10766,▁push,22,3.5663122162077343e-06,4551
baseline,push,push,0,10766,▁push,23,4.722571247839369e-06,4044
baseline,push,pushes,0,26,▁p,0,4.391473703435622e-05,1565
baseline,push,pushes,0,26,▁p,1,0.0015710939187556505,78
baseline,push,pushes,0,26,▁p,2,0.0002411588211543858,420
baseline,push,pushes,0,26,▁p,3,0.0002694062131922692,510
baseline,push,pushes,0,26,▁p,4,0.00046263591502793133,173
baseline,push,pushes,0,26,▁p,5,0.007476075552403927,11
baseline,push,pushes,0,26,▁p,6,0.002010281663388014,38
baseline,push,pushes,0,26,▁p,7,0.003916435409337282,37
baseline,push,pushes,0,26,▁p,8,0.005693385377526283,23
baseline,push,pushes,0,26,▁p,9,0.0009288800647482276,87
baseline,push,pushes,0,26,▁p,10,0.0015683829551562667,71
baseline,push,pushes,0,26,▁p,11,0.0009351641638204455,156
baseline,push,pushes,0,26,▁p,12,0.0026698405854403973,41
baseline,push,pushes,0,26,▁p,13,0.003242989769205451,28
baseline,push,pushes,0,26,▁p,14,1.47987911987002e-05,55
baseline,push,pushes,0,26,▁p,15,0.003153170458972454,23
baseline,push,pushes,0,26,▁p,16,0.0007233275682665408,65
baseline,push,pushes,0,26,▁p,17,0.0010725442552939057,45
baseline,push,pushes,0,26,▁p,18,0.004151227418333292,20
baseline,push,pushes,0,26,▁p,19,0.0017408108105883002,68
baseline,push,pushes,0,26,▁p,20,0.003661779221147299,15
baseline,push,pushes,0,26,▁p,21,0.006505098193883896,15
baseline,push,pushes,0,26,▁p,22,0.0005079116090200841,126
baseline,push,pushes,0,26,▁p,23,0.0014723812928423285,50
baseline,push,pushes,1,74,us,0,3.2220498269452946e-06,5217
baseline,push,pushes,1,74,us,1,1.7314465367235243e-05,5188
baseline,push,pushes,1,74,us,2,2.45840783463791e-05,2629
baseline,push,pushes,1,74,us,3,0.0015366165898740292,80
baseline,push,pushes,1,74,us,4,6.706857220706297e-07,11351
baseline,push,pushes,1,74,us,5,8.147727203322574e-05,1617
baseline,push,pushes,1,74,us,6,9.234855497197714e-06,2819
baseline,push,pushes,1,74,us,7,4.7772773541510105e-06,7565
