channel,coord,merge,node,epsilon,own_delta_l2,max_ancestor_delta_l2,root_delta_l2,on_path_energy,off_path_energy,off_path_ratio
base,0,0,0,-0.1,0.8875582218170166,0.6242213845252991,0.27138781547546387,1.489993426075917,0.0,0.0
base,0,0,0,-0.01,0.09067639708518982,0.06376268714666367,0.02772117406129837,0.015549137750147504,0.0,0.0
base,0,0,0,-0.001,0.009084244258701801,0.006388361565768719,0.0027766141574829817,0.00015605984812717716,0.0,0.0
base,0,0,0,0.001,0.009088140912353992,0.006390540394932032,0.002778099849820137,0.00015618474158693722,0.0,0.0
base,0,0,0,0.01,0.09104488790035248,0.06402038037776947,0.027830658480525017,0.015675029752638965,0.0,0.0
base,0,0,0,0.1,0.9241595268249512,0.6497480273246765,0.2824476361274719,1.6148050495844304,0.0,0.0
base,1,0,1,-0.1,0.8806549906730652,0.6251886487007141,0.271637499332428,1.48072473645637,0.0,0.0
base,1,0,1,-0.01,0.08997097611427307,0.0638679638504982,0.027750108391046524,0.015454240589672139,0.0,0.0
base,1,0,1,-0.001,0.009013463743031025,0.006398564670234919,0.0027816647198051214,0.00015512523248361612,0.0,0.0
base,1,0,1,0.001,0.009017331525683403,0.0064003849402070045,0.0027810612227767706,0.00015522398890856855,0.0,0.0
base,1,0,1,0.01,0.09033675491809845,0.06412790715694427,0.027866242453455925,0.015580685374294197,0.0,0.0
base,1,0,1,0.1,0.9169714450836182,0.6508886814117432,0.2828439474105835,1.6052555270930817,0.0,0.0
base,2,0,2,-0.1,0.914542555809021,0.6403137445449829,0.28685232996940613,1.5958496908289188,0.0,0.0
base,2,0,2,-0.01,0.0934331938624382,0.06541310995817184,0.0293189138174057,0.01665912869568026,0.0,0.0
base,2,0,2,-0.001,0.009360304102301598,0.006552574224770069,0.002937324345111847,0.0001671907578897746,0.0,0.0
base,2,0,2,0.001,0.009364563971757889,0.006556822452694178,0.0029386081732809544,0.0001673627201658884,0.0,0.0
base,2,0,2,0.01,0.09381291270256042,0.06567729264497757,0.029439551755785942,0.016795028825964627,0.0,0.0
base,2,0,2,0.1,0.9522566795349121,0.6666352152824402,0.2989630699157715,1.730766210093357,0.0,0.0
base,3,0,3,-0.1,0.686160147190094,0.48279547691345215,0.21051403880119324,0.8921230048074795,0.0,0.0
base,3,0,3,-0.01,0.07010067254304886,0.04932345822453499,0.02151094749569893,0.009311959056199456,0.0,0.0
base,3,0,3,-0.001,0.007022810634225607,0.00494054239243269,0.0021540324669331312,9.343925419981464e-05,0.0,0.0
base,3,0,3,0.001,0.007025939412415028,0.004944208078086376,0.002156167756766081,9.354572411020371e-05,0.0,0.0
base,3,0,3,0.01,0.07038566470146179,0.0495232418179512,0.02159784361720085,0.009387691886095423,0.0,0.0
base,3,0,3,0.1,0.7144560813903809,0.5026717782020569,0.2192516326904297,0.9672713831609032,0.0,0.0
base,4,0,4,-0.1,0.6571317911148071,0.47640761733055115,0.3184199631214142,1.0885331724233858,0.0,0.0
base,4,0,4,-0.01,0.06713515520095825,0.04920663684606552,0.0328897126019001,0.01151318167332907,0.0,0.0
base,4,0,4,-0.001,0.0067258235067129135,0.00493495911359787,0.003298940835520625,0.00011571036602174838,0.0,0.0
base,4,0,4,0.001,0.006728782784193754,0.004938163794577122,0.0032992023043334484,0.00011581691277084516,0.0,0.0
base,4,0,4,0.01,0.06740805506706238,0.04951806366443634,0.03309869021177292,0.01163896973354428,0.0,0.0
base,4,0,4,0.1,0.6842307448387146,0.5072861313819885,0.33909791707992554,1.2128249451034385,0.0,0.0
base,5,0,5,-0.1,0.6763237118721008,0.4433789551258087,0.2966850697994232,1.0266276202211415,0.0,0.0
base,5,0,5,-0.01,0.06909584999084473,0.04575145244598389,0.030616316944360733,0.010835345014266667,0.0,0.0
base,5,0,5,-0.001,0.006922158878296614,0.004588171374052763,0.0030707302503287792,0.00010887768519230357,0.0,0.0
base,5,0,5,0.001,0.006925216875970364,0.004591642878949642,0.003072587074711919,0.00010900658009821613,0.0,0.0
base,5,0,5,0.01,0.06937674432992935,0.046050019562244415,0.030813731253147125,0.010953313324668923,0.0,0.0
base,5,0,5,0.1,0.7042139768600464,0.47287899255752563,0.31643858551979065,1.1434131652210144,0.0,0.0
base,16,1,0,-0.1,1.007468581199646,0.6540384292602539,0.4356406033039093,1.822324679547636,0.0,0.0
base,16,1,0,-0.01,0.1029268279671669,0.0668179839849472,0.04450665041804314,0.01902025876206323,0.0,0.0
base,16,1,0,-0.001,0.010311610996723175,0.006695578806102276,0.004460559692233801,0.0001909532824324301,0.0,0.0
base,16,1,0,0.001,0.010315858758985996,0.006696740631014109,0.004459502175450325,0.0001910375963201157,0.0,0.0
