intervention,channel,decode_step,tree_depth,js,max_abs_delta,baseline_argmax,pulse_argmax,branch_flip,baseline_entropy,pulse_entropy
base-coord0-eps+0.1,base,0,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,0,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,0,2,3.449444193392992e-06,0.0024756789207458496,0,0,0,0.6373838186264038,0.6390720009803772
base-coord0-eps+0.1,base,0,3,7.607071893289685e-06,0.003887474536895752,0,0,0,0.9930499792098999,0.9958241581916809
base-coord0-eps+0.1,base,0,4,7.661903509870172e-06,0.0032634735107421875,0,0,0,1.5890429019927979,1.592750072479248
base-coord0-eps+0.1,base,0,5,7.940339855849743e-06,0.002744048833847046,0,0,0,2.2367615699768066,2.241168975830078
base-coord0-eps+0.1,base,1,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,1,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,1,2,3.566686064004898e-05,0.007792443037033081,0,0,0,0.6139586567878723,0.6202818155288696
base-coord0-eps+0.1,base,1,3,6.530701648443937e-05,0.011398494243621826,0,0,0,0.9895931482315063,0.9981135129928589
base-coord0-eps+0.1,base,1,4,7.430464029312134e-05,0.00929918885231018,0,0,0,1.6770100593566895,1.6861000061035156
base-coord0-eps+0.1,base,1,5,7.450103294104338e-05,0.004799976944923401,2,2,0,2.355576276779175,2.364861488342285
base-coord0-eps+0.1,base,2,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,2,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,2,2,3.937631845474243e-05,0.008023500442504883,0,0,0,0.5945155620574951,0.6018692255020142
base-coord0-eps+0.1,base,2,3,7.031671702861786e-05,0.011743426322937012,0,0,0,1.0177161693572998,1.0259425640106201
base-coord0-eps+0.1,base,2,4,7.377710426226258e-05,0.009200602769851685,0,0,0,1.6899428367614746,1.6995049715042114
base-coord0-eps+0.1,base,2,5,7.403333438560367e-05,0.005511045455932617,1,1,0,2.3639636039733887,2.373772382736206
base-coord0-eps+0.1,base,3,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,3,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,3,2,3.0135503038764e-05,0.007476508617401123,0,0,0,0.6537303924560547,0.6578935980796814
base-coord0-eps+0.1,base,3,3,5.079875700175762e-05,0.00989040732383728,0,0,0,1.049169898033142,1.0524272918701172
base-coord0-eps+0.1,base,3,4,5.248398520052433e-05,0.0076615214347839355,0,0,0,1.7113738059997559,1.715993881225586
base-coord0-eps+0.1,base,3,5,5.2744930144399405e-05,0.005341857671737671,1,1,0,2.3707430362701416,2.376044273376465
base-coord0-eps+0.1,base,4,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,4,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,4,2,1.5665311366319656e-05,0.005187332630157471,0,0,0,0.6177819967269897,0.6219093799591064
base-coord0-eps+0.1,base,4,3,2.628532820381224e-05,0.00713154673576355,0,0,0,1.039624571800232,1.0435254573822021
