channel,coord,merge,node,epsilon,own_delta_l2,max_ancestor_delta_l2,root_delta_l2,on_path_energy,off_path_energy,off_path_ratio
base,0,0,0,-0.1,0.8116150498390198,0.5662425756454468,0.249710351228714,1.2422897335028384,0.0,0.0
base,0,0,0,-0.01,0.08291766047477722,0.05784881114959717,0.025509987026453018,0.012966136871255737,0.0,0.0
base,0,0,0,-0.001,0.008306842297315598,0.005795229226350784,0.002555262763053179,0.00013012187232378007,0.0,0.0
base,0,0,0,0.001,0.00831056572496891,0.00579862529411912,0.002556258114054799,0.0001302547629660006,0.0,0.0
base,0,0,0,0.01,0.0832548439502716,0.05808586999773979,0.025613540783524513,0.01307212567538394,0.0,0.0
base,0,0,0,0.1,0.8450844883918762,0.5895907878875732,0.2599709928035736,1.34683535395338,0.0,0.0
base,1,0,1,-0.1,1.0081416368484497,0.7042073607444763,0.3015579581260681,1.9017777117468881,0.0,0.0
base,1,0,1,-0.01,0.10299547761678696,0.07194377481937408,0.030799275264143944,0.019848024146508568,0.0,0.0
base,1,0,1,-0.001,0.01031841803342104,0.007207169663161039,0.0030848870519548655,0.00019918161001411647,0.0,0.0
base,1,0,1,0.001,0.010323111899197102,0.007211433723568916,0.0030891187489032745,0.00019943613099210962,0.0,0.0
base,1,0,1,0.01,0.10341446846723557,0.07223909348249435,0.03092626854777336,0.02001060600359314,0.0,0.0
base,1,0,1,0.1,1.0497157573699951,0.7332717776298523,0.3138456642627716,2.0616547367600138,0.0,0.0
base,2,0,2,-0.1,0.9542514681816101,0.6594458222389221,0.29880163073539734,1.7201324844294303,0.0,0.0
base,2,0,2,-0.01,0.09748993068933487,0.06737642735242844,0.030528593808412552,0.017955206572963275,0.0,0.0
base,2,0,2,-0.001,0.009766830131411552,0.006748698186129332,0.003057830035686493,0.00018016904676300166,0.0,0.0
base,2,0,2,0.001,0.009771086275577545,0.006752062123268843,0.0030610666144639254,0.00018037337971771978,0.0,0.0
base,2,0,2,0.01,0.09788625687360764,0.0676484927535057,0.030649662017822266,0.018100878041110616,0.0,0.0
base,2,0,2,0.1,0.993602991104126,0.6867355108261108,0.3111148178577423,1.865168925484257,0.0,0.0
base,3,0,3,-0.1,1.0034101009368896,0.7035567760467529,0.3071984648704529,1.9161385227620364,0.0,0.0
base,3,0,3,-0.01,0.10251200199127197,0.07188978046178818,0.031394582241773605,0.020004296402066052,0.0,0.0
