intervention,channel,decode_step,tree_depth,js,max_abs_delta,baseline_argmax,pulse_argmax,branch_flip,baseline_entropy,pulse_entropy
base-coord0-eps+0.1,base,0,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,0,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,0,2,1.2133677955716848e-06,0.0014601647853851318,0,0,0,0.6171221137046814,0.6183022260665894
base-coord0-eps+0.1,base,0,3,3.658846253529191e-06,0.0026838481426239014,0,0,0,1.0702056884765625,1.0714167356491089
base-coord0-eps+0.1,base,0,4,5.794368917122483e-06,0.0031668245792388916,0,0,0,1.696080207824707,1.6988024711608887
base-coord0-eps+0.1,base,0,5,6.057947757653892e-06,0.0026517361402511597,1,1,0,2.324937343597412,2.32846736907959
base-coord0-eps+0.1,base,1,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,1,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,1,2,1.609412720426917e-06,0.0014946460723876953,0,0,0,0.5269904136657715,0.5288751125335693
base-coord0-eps+0.1,base,1,3,4.624103894457221e-06,0.002788037061691284,1,1,0,1.0610800981521606,1.061374306678772
base-coord0-eps+0.1,base,1,4,9.80592449195683e-06,0.003489464521408081,2,2,0,1.7326222658157349,1.7334938049316406
base-coord0-eps+0.1,base,1,5,9.928568033501506e-06,0.002838149666786194,4,4,0,2.3044204711914062,2.305668830871582
base-coord0-eps+0.1,base,2,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,2,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,2,2,2.713582944124937e-06,0.0021132230758666992,0,0,0,0.5913949012756348,0.5933969020843506
base-coord0-eps+0.1,base,2,3,1.2533622793853283e-05,0.004491895437240601,1,1,0,1.0749508142471313,1.0739063024520874
base-coord0-eps+0.1,base,2,4,1.3592769391834736e-05,0.002958625555038452,2,2,0,1.7521616220474243,1.751096248626709
base-coord0-eps+0.1,base,2,5,1.365662319585681e-05,0.0022225230932235718,4,4,0,2.3563497066497803,2.3553824424743652
base-coord0-eps+0.1,base,3,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,3,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,3,2,3.707828000187874e-06,0.0024307668209075928,0,0,0,0.5860381126403809,0.5884063243865967
base-coord0-eps+0.1,base,3,3,4.238761903252453e-06,0.002430737018585205,1,1,0,1.0852066278457642,1.0856996774673462
base-coord0-eps+0.1,base,3,4,4.712783265858889e-06,0.0014033466577529907,2,2,0,1.7721664905548096,1.7725226879119873
base-coord0-eps+0.1,base,3,5,4.694826202467084e-06,0.0011110827326774597,4,4,0,2.379093885421753,2.379396677017212
base-coord0-eps+0.1,base,4,0,0.0,0.0,0,0,0,-0.0,-0.0
base-coord0-eps+0.1,base,4,1,0.0,0.0,0,0,0,2.7631020735330303e-11,2.7631020735330303e-11
base-coord0-eps+0.1,base,4,2,9.745766874402761e-06,0.003798365592956543,0,0,0,0.5541833639144897,0.5584663152694702
base-coord0-eps+0.1,base,4,3,1.337891080765985e-05,0.003891199827194214,1,1,0,1.06869375705719,1.0696117877960205
