intervention,concept,surface,piece_index,token_id,piece,decode_step,probability,rank
baseline,push,push,0,10766,▁push,0,2.0110499008296756e-06,6133
baseline,push,push,0,10766,▁push,1,0.0001389819080941379,1165
baseline,push,push,0,10766,▁push,2,1.790521309885662e-05,2712
baseline,push,push,0,10766,▁push,3,1.4428094800678082e-05,2565
baseline,push,push,0,10766,▁push,4,1.7638885765336454e-05,3373
baseline,push,push,0,10766,▁push,5,4.149072537984466e-06,3891
baseline,push,push,0,10766,▁push,6,1.0372411452408414e-05,3408
baseline,push,push,0,10766,▁push,7,1.1098530194431078e-05,4417
baseline,push,push,0,10766,▁push,8,1.0922140972979832e-05,2119
baseline,push,push,0,10766,▁push,9,9.288916771765798e-05,1044
baseline,push,push,0,10766,▁push,10,0.0003471499076113105,439
baseline,push,push,0,10766,▁push,11,9.179476023746247e-07,3443
baseline,push,push,0,10766,▁push,12,5.961092028883286e-06,2707
baseline,push,push,0,10766,▁push,13,2.0145545931882225e-05,2366
baseline,push,push,0,10766,▁push,14,2.3743916244711727e-05,2465
baseline,push,push,0,10766,▁push,15,3.245267862439505e-06,3063
baseline,push,push,0,10766,▁push,16,3.901963196994984e-08,6978
baseline,push,push,0,10766,▁push,17,0.00010091026342706755,1098
baseline,push,push,0,10766,▁push,18,6.358490645652637e-05,1354
baseline,push,push,0,10766,▁push,19,0.0008158414857462049,165
baseline,push,push,0,10766,▁push,20,8.316076127812266e-05,1366
baseline,push,push,0,10766,▁push,21,3.984693648817483e-06,2744
baseline,push,push,0,10766,▁push,22,7.0500791480299085e-06,2348
baseline,push,push,0,10766,▁push,23,2.996795592480339e-05,2393
baseline,push,pushes,0,26,▁p,0,9.175474406220019e-05,920
baseline,push,pushes,0,26,▁p,1,0.011826920323073864,2
baseline,push,pushes,0,26,▁p,2,0.005181238055229187,21
baseline,push,pushes,0,26,▁p,3,0.001442853594198823,56
baseline,push,pushes,0,26,▁p,4,0.00843492429703474,13
baseline,push,pushes,0,26,▁p,5,0.0012068261858075857,84
baseline,push,pushes,0,26,▁p,6,0.0007227681926451623,170
baseline,push,pushes,0,26,▁p,7,0.004975796211510897,27
baseline,push,pushes,0,26,▁p,8,0.0011574628297239542,86
baseline,push,pushes,0,26,▁p,9,0.001800161087885499,100
baseline,push,pushes,0,26,▁p,10,0.015948418527841568,8
baseline,push,pushes,0,26,▁p,11,5.724315997213125e-05,374
