mode,protocol_depth,stage,level,level_from_leaf,node_count,feature_width,test_r2,test_mae_count,test_correlation,test_exact_count_accuracy,active_features,shuffled_test_r2
native,5,fold,0,5,1,640,0.9990273023696398,0.03321374942079604,0.9995224031403155,1.0,640,-0.21618477584569806
native,5,fold,1,4,2,640,0.9990273023696398,0.03321374942079604,0.9995224031403155,1.0,640,-0.14330843438569252
native,5,fold,2,3,4,640,0.9990273023696398,0.03321374942079604,0.9995224031403155,1.0,640,-0.1448770937269075
native,5,fold,3,2,8,640,0.9990273023696398,0.03321374942079604,0.9995224031403155,1.0,640,-0.12673843370812943
native,5,fold,4,1,16,640,0.9990273023696398,0.03321374942079604,0.9995224031403155,1.0,640,-0.19219075961353727
native,5,fold,5,0,32,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.2523388330648957
native,5,read_facing,0,5,1,640,0.99915940397673,0.030108930819748025,0.9995850369572485,1.0,640,-0.34123813092464683
native,5,read_facing,1,4,2,640,0.9991567897780301,0.031233047501062768,0.999580987173279,1.0,640,-0.227105634609839
native,5,read_facing,2,3,4,640,0.999113206817482,0.03091635805824209,0.9995636659687962,1.0,640,-0.15079716220052664
native,5,read_facing,3,2,8,640,0.9991577240781585,0.030337001458254888,0.9995811874242132,1.0,640,-0.10020870138099935
native,5,read_facing,4,1,16,640,0.9991124149957831,0.0313043463489575,0.999564437644237,1.0,640,-0.2259444637726069
native,5,read_facing,5,0,32,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.2523388330648957
mean,5,fold,0,5,1,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.21619360145803257
mean,5,fold,1,4,2,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.14330734755336838
mean,5,fold,2,3,4,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.1448872471018503
mean,5,fold,3,2,8,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.1267399201966959
mean,5,fold,4,1,16,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.19219946884717287
mean,5,fold,5,0,32,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.2523388330648957
mean,5,read_facing,0,5,1,640,0.9990635906297893,0.032365733010608425,0.9995351381564914,1.0,640,-0.21994968381273217
mean,5,read_facing,1,4,2,640,0.9990933381218488,0.03185710198231698,0.9995466786037623,1.0,640,-0.2257312758661465
mean,5,read_facing,2,3,4,640,0.9990717887469002,0.03195404076499165,0.9995360918055302,1.0,640,-0.11589097065173548
mean,5,read_facing,3,2,8,640,0.9991467560878527,0.030587913789626706,0.9995735279862179,1.0,640,-0.14584977371075114
mean,5,read_facing,4,1,16,640,0.9991516076794532,0.030554170718377946,0.9995814978895692,1.0,640,-0.2128612765765865
mean,5,read_facing,5,0,32,640,0.9990273070621863,0.03321358145468973,0.9995224058995472,1.0,640,-0.2523388330648957
native,6,fold,0,5,1,640,0.9998211534925331,0.014053480185460682,0.9999129920077748,1.0,640,0.1025727731958509
native,6,fold,1,4,2,640,0.9998211534925331,0.014053480185460682,0.9999129920077748,1.0,640,-0.31064393989073547
native,6,fold,2,3,4,640,0.9998211534925331,0.014053480185460682,0.9999129920077748,1.0,640,-0.2282889064327671
native,6,fold,3,2,8,640,0.9998211534925331,0.014053480185460682,0.9999129920077748,1.0,640,0.11320256757561198
native,6,fold,4,1,16,640,0.9998211535390432,0.014053472099363272,0.9999129920744467,1.0,640,-0.3914158943669743
native,6,fold,5,0,32,640,0.9998211532328701,0.014053447339240369,0.9999129918503231,1.0,640,-0.009268843493992707
native,6,read_facing,0,5,1,640,0.9997912480435763,0.015656311429629657,0.9998985068307288,1.0,640,-0.05934137537339601
native,6,read_facing,1,4,2,640,0.9998173473674049,0.014435959976242196,0.9999093113690305,1.0,640,-0.45735672768406377
native,6,read_facing,2,3,4,640,0.9997719194020397,0.016042491612536923,0.9998864424112681,1.0,640,-0.4713908361997985
native,6,read_facing,3,2,8,640,0.9994892468918856,0.02215063355888961,0.9997535696985564,1.0,640,-0.42180548420395225
native,6,read_facing,4,1,16,640,0.9997809527185674,0.015043736117276149,0.999890825343323,1.0,640,-0.45448943303864087
native,6,read_facing,5,0,32,640,0.9998211532328701,0.014053447339240369,0.9999129918503231,1.0,640,-0.009268843493992707
