mode,protocol_depth,count,root_target_margin
native,5,0,-13.648006439208984
native,5,1,-13.43665063381195
native,5,2,-13.192347799028669
native,5,3,-13.023764371871948
native,5,4,-12.829915755135673
native,5,5,-12.54629499571664
native,5,6,-12.230836323329381
native,5,7,-11.95709764957428
native,5,8,-11.826163291931152
mean,5,0,-13.227372169494629
mean,5,1,-12.761641144752502
mean,5,2,-12.547589540481567
mean,5,3,-12.468895043645587
mean,5,4,-12.33723031452724
mean,5,5,-12.100818668093
mean,5,6,-11.856299468449183
mean,5,7,-11.677616119384766
mean,5,8,-11.583749771118164
native,6,0,-15.846159934997559
native,6,1,-14.287317037582397
native,6,2,-13.532811539513725
native,6,3,-13.03161905493055
native,6,4,-12.616972133091517
native,6,5,-12.34336142880576
native,6,6,-12.266044310161046
native,6,7,-12.407275199890137
native,6,8,-12.781813621520996
mean,6,0,-14.081995010375977
mean,6,1,-12.98107647895813
mean,6,2,-12.351013898849487
mean,6,3,-11.939369746616908
mean,6,4,-11.591290174211775
mean,6,5,-11.31326425075531
mean,6,6,-11.146614960261754
mean,6,7,-11.097795844078064
mean,6,8,-11.160947799682617
native,7,0,-17.574626922607422
native,7,1,-15.847305178642273
native,7,2,-14.31340057509286
native,7,3,-13.929196749414716
native,7,4,-14.795946189335414
native,7,5,-16.371792469705856
native,7,6,-17.841472148895264
native,7,7,-19.142233848571777
native,7,8,-20.061458587646484
mean,7,0,-12.095255851745605
mean,7,1,-11.444767355918884
mean,7,2,-10.898397990635463
mean,7,3,-10.48948347568512
mean,7,4,-10.216328075953893
mean,7,5,-10.086679782186236
mean,7,6,-10.098490680967059
mean,7,7,-10.190163969993591
mean,7,8,-10.325172424316406
