held_out_family,feature,auroc,average_precision,balanced_accuracy,score_gap,finite,active_features,shuffled_auroc_mean,shuffled_auroc_max
physical,input_bow,0.513125,0.561671150114165,0.45,0.028694934457916266,True,3362,0.5221250000000001,0.653125
physical,d5:fold:root,0.523125,0.5391201610769338,0.5125,0.08396567196494376,True,640,0.46624999999999994,0.640625
physical,d5:fold:middle,0.5025,0.4915241115477997,0.55,0.06727303010381502,True,640,0.46775,0.65625
physical,d5:fold:leaf,0.479375,0.48165887365562154,0.4625,-0.020293829983795697,True,640,0.458,0.59875
physical,d5:read_facing:root,0.59875,0.5558721529780849,0.575,0.20835098945648922,True,640,0.45875000000000005,0.568125
physical,d5:read_facing:middle,0.626875,0.629336627000925,0.5625,0.30184211528652494,True,640,0.469375,0.674375
physical,d5:read_facing:leaf,0.479375,0.48165887365562154,0.4625,-0.020293829983795697,True,640,0.458,0.59875
physical,d6:fold:root,0.53625,0.5273368160186529,0.55,0.065197950993236,True,640,0.47337500000000005,0.621875
physical,d6:fold:middle,0.523125,0.5537286797489196,0.55,0.0279040343625393,True,640,0.47662499999999997,0.624375
physical,d6:fold:leaf,0.513125,0.5621648140511194,0.5125,0.022321661716733554,True,640,0.46762499999999996,0.594375
physical,d6:read_facing:root,0.576875,0.5904004180790532,0.575,0.1600286070459317,True,640,0.41175000000000006,0.561875
physical,d6:read_facing:middle,0.535625,0.5841511970871915,0.5125,0.12372128295894858,True,640,0.491875,0.578125
physical,d6:read_facing:leaf,0.513125,0.5621648140511194,0.5125,0.022321661716733554,True,640,0.46762499999999996,0.594375
physical,d7:fold:root,0.493125,0.5119618928607329,0.525,0.01224215295378428,True,640,0.507375,0.62
physical,d7:fold:middle,0.491875,0.5135124021679648,0.5,0.03244313842088031,True,640,0.522125,0.62375
physical,d7:fold:leaf,0.495,0.5200206734468733,0.5125,0.027524874668257482,True,640,0.520875,0.630625
physical,d7:read_facing:root,0.529375,0.4885487786299484,0.575,0.020287557939307144,True,640,0.5085,0.63375
physical,d7:read_facing:middle,0.5,0.5375407013674256,0.5125,-0.010353505883005876,True,640,0.5261250000000001,0.62625
physical,d7:read_facing:leaf,0.495,0.5200206734468733,0.5125,0.027524874668257482,True,640,0.520875,0.630625
technical,input_bow,0.42,0.4399628049447795,0.44999999999999996,-0.03379710544068637,True,3449,0.48450000000000004,0.590625
technical,d5:fold:root,0.39,0.4409971604098031,0.4,-0.1846481381410705,True,640,0.48575,0.5675
technical,d5:fold:middle,0.375625,0.43492434447274436,0.42500000000000004,-0.2200012189556396,True,640,0.478125,0.544375
technical,d5:fold:leaf,0.406875,0.44361368884111985,0.4625,-0.15675644281369042,True,640,0.44275000000000003,0.525625
technical,d5:read_facing:root,0.3525,0.42945628719071083,0.375,-0.2624382580000215,True,640,0.44525,0.56875
technical,d5:read_facing:middle,0.386875,0.4852452408401103,0.3875,-0.17474873818159728,True,640,0.48575,0.5875
technical,d5:read_facing:leaf,0.406875,0.44361368884111985,0.4625,-0.15675644281369042,True,640,0.44275000000000003,0.525625
technical,d6:fold:root,0.420625,0.4608536812205547,0.425,-0.1127457981396163,True,640,0.47062500000000007,0.56875
technical,d6:fold:middle,0.4175,0.4504281317625748,0.45,-0.14649218506850542,True,640,0.4522500000000001,0.550625
technical,d6:fold:leaf,0.46125,0.47202419979451343,0.4625,-0.09723955574491894,True,640,0.44749999999999995,0.554375
