channel,filter,coord,merge,node,root_depth,path_bits,right_count,active_position,normalization,raw_value,normalized_value,centered
base,uniform-gain,0,0,0,4,0000,0,0,energy-rms,1.0,1.0,0
base,uniform-gain,1,0,1,4,0001,1,1,energy-rms,1.0,1.0,0
base,uniform-gain,2,0,2,4,0010,1,2,energy-rms,1.0,1.0,0
base,uniform-gain,3,0,3,4,0011,2,3,energy-rms,1.0,1.0,0
base,uniform-gain,4,0,4,4,0100,1,4,energy-rms,1.0,1.0,0
base,uniform-gain,5,0,5,4,0101,2,5,energy-rms,1.0,1.0,0
base,uniform-gain,16,1,0,3,000,0,6,energy-rms,1.0,1.0,0
base,uniform-gain,17,1,1,3,001,1,7,energy-rms,1.0,1.0,0
base,uniform-gain,18,1,2,3,010,1,8,energy-rms,1.0,1.0,0
base,uniform-gain,24,2,0,2,00,0,9,energy-rms,1.0,1.0,0
base,uniform-gain,28,3,0,1,0,0,10,energy-rms,1.0,1.0,0
base,pascal-row-energy,0,0,0,4,0000,0,0,energy-rms,0.003968253968253968,0.007716086134471262,0
base,pascal-row-energy,1,0,1,4,0001,1,1,energy-rms,0.03968253968253968,0.07716086134471262,0
base,pascal-row-energy,2,0,2,4,0010,1,2,energy-rms,0.17857142857142858,0.3472238760512068,0
base,pascal-row-energy,3,0,3,4,0011,2,3,energy-rms,0.47619047619047616,0.9259303361365514,0
base,pascal-row-energy,4,0,4,4,0100,1,4,energy-rms,0.8333333333333334,1.6203780882389651,0
base,pascal-row-energy,5,0,5,4,0101,2,5,energy-rms,1.0,1.9444537058867581,0
base,pascal-row-energy,16,1,0,3,000,0,6,energy-rms,0.8333333333333334,1.6203780882389651,0
base,pascal-row-energy,17,1,1,3,001,1,7,energy-rms,0.47619047619047616,0.9259303361365514,0
base,pascal-row-energy,18,1,2,3,010,1,8,energy-rms,0.17857142857142858,0.3472238760512068,0
base,pascal-row-energy,24,2,0,2,00,0,9,energy-rms,0.03968253968253968,0.07716086134471262,0
base,pascal-row-energy,28,3,0,1,0,0,10,energy-rms,0.003968253968253968,0.007716086134471262,0
base,gaussian-center-energy,0,0,0,4,0000,0,0,energy-rms,0.07557387471306087,0.12695197091771288,0
base,gaussian-center-energy,1,0,1,4,0001,1,1,energy-rms,0.19149519501466308,0.32168116985778716,0
base,gaussian-center-energy,2,0,2,4,0010,1,2,energy-rms,0.3946515457334271,0.6629512082952886,0
base,gaussian-center-energy,3,0,3,4,0011,2,3,energy-rms,0.6615146556493746,1.1112383696680634,0
base,gaussian-center-energy,4,0,4,4,0100,1,4,energy-rms,0.9018511586452826,1.514965092092265,0
base,gaussian-center-energy,5,0,5,4,0101,2,5,energy-rms,1.0,1.67983938099938,0
base,gaussian-center-energy,16,1,0,3,000,0,6,energy-rms,0.9018511586452826,1.514965092092265,0
base,gaussian-center-energy,17,1,1,3,001,1,7,energy-rms,0.6615146556493746,1.1112383696680634,0
base,gaussian-center-energy,18,1,2,3,010,1,8,energy-rms,0.3946515457334271,0.6629512082952886,0
base,gaussian-center-energy,24,2,0,2,00,0,9,energy-rms,0.19149519501466308,0.32168116985778716,0
base,gaussian-center-energy,28,3,0,1,0,0,10,energy-rms,0.07557387471306087,0.12695197091771288,0
base,impulse-center-energy,0,0,0,4,0000,0,0,energy-rms,0.0,0.0,0
base,impulse-center-energy,1,0,1,4,0001,1,1,energy-rms,0.0,0.0,0
base,impulse-center-energy,2,0,2,4,0010,1,2,energy-rms,0.0,0.0,0
base,impulse-center-energy,3,0,3,4,0011,2,3,energy-rms,0.0,0.0,0
base,impulse-center-energy,4,0,4,4,0100,1,4,energy-rms,0.0,0.0,0
base,impulse-center-energy,5,0,5,4,0101,2,5,energy-rms,1.0,3.3166247903554,0
base,impulse-center-energy,16,1,0,3,000,0,6,energy-rms,0.0,0.0,0
base,impulse-center-energy,17,1,1,3,001,1,7,energy-rms,0.0,0.0,0
base,impulse-center-energy,18,1,2,3,010,1,8,energy-rms,0.0,0.0,0
